MEMBER_NO,L,R,F,M,C,D
‘00000129,1219,715,2,0.240163934,0.275,低级别
‘00000131,1596,69,2,0.522877478,0.605,低级别
‘00000132,1332,347,2,0.660595021,0.663934426,低级别
‘00000133,1254,146,4,0.627952756,0.689282391,低级别
‘00000134,841,403,2,0.818345324,0.875,低级别
‘00000137,1212,368,5,1,1,低级别
‘00000139,1212,49,2,0.931844215,0.875,低级别
‘00000144,1212,244,2,0.541607498,0.565907413,低级别
‘00000146,1198,589,5,0.726811691,0.81516749,低级别
‘00000151,1198,579,7,0.809848318,0.720488019,低级别
‘00000152,1198,178,2,0.576328367,0.55,低级别
‘00000153,1189,472,2,0.522727273,0.627160691,低级别
‘00000154,1189,26,2,0.620947631,0.63,低级别
‘00000156,1174,89,27,0.545700617,0.816711529,高级别
‘00000157,1183,238,9,0.56072152,0.734309829,低级别
‘00000158,1183,393,2,0.402082634,0.45,低级别
‘00000163,1183,493,2,0.651142734,0.660715826,低级别
‘00000168,1174,209,2,0.567691302,0.528613473,低级别
‘00000173,1174,677,2,0.289159591,0.55,低级别
‘00000176,1173,504,4,1.223862239,1.37097171,低级别
‘00000180,1174,304,16,0.625261476,0.703977865,低级别
‘00000184,920,314,3,0.278246206,0.278878583,低级别
‘00000188,920,101,9,0.694763337,0.797957517,低级别
‘00000197,1173,180,2,0.140543365,0.14,低级别
‘00000199,1173,47,2,0.839343207,0.875,低级别
‘00000205,1174,443,3,0.445924516,0.789597209,低级别
‘00000206,1174,681,2,0.453736655,0.525,低级别
‘00000209,1174,545,2,0.537621359,0.546177184,低级别
‘00000211,1174,455,5,0.578377351,0.57799734,低级别
‘00000213,1173,204,5,0.619770115,0.647771648,低级别
‘00000214,1173,340,5,0.575667065,0.463908801,低级别
‘00000216,1174,357,4,0.951505289,0.985793328,低级别
‘00000217,1173,174,9,0.598943619,0.639275273,低级别
‘00000218,1173,275,11,0.534960376,0.542567501,低级别
‘00000224,1155,215,5,0.643075356,0.788455193,低级别
‘00000225,1155,120,2,0.508847818,0.510987023,低级别
‘00000226,1155,530,2,0.44177802,0.5,低级别
‘00000231,1155,28,2,0.824574961,0.92,低级别
‘00000232,1148,69,3,0.746660305,0.677070611,中等级别
‘00000233,1128,644,2,0.519893899,0.537002653,低级别
‘00000234,1128,632,2,1,1,低级别
‘00000237,1121,142,3,0.54180602,0.573333333,低级别
‘00000238,1099,155,4,0.357253485,0.360955085,低级别
‘00000240,1070,283,8,0.625639644,0.796935632,低级别
‘00000243,1114,530,2,0.472065829,0.514811607,低级别
‘00000245,1058,434,5,0.430138391,0.483521271,低级别
‘00000249,1043,297,7,1.015029326,0.8221261,低级别
‘00000251,1058,185,2,0.591936198,0.679251218,低级别
‘00000253,1013,506,6,0.700240577,0.757914996,低级别
‘00000254,1058,234,2,0.609303508,0.705,低级别
‘00000256,1034,395,5,1.337368421,0.77,低级别
‘00000260,997,125,2,0.35911494,0.48,低级别
‘00000262,997,164,2,0.712106768,0.77,低级别
‘00000266,975,49,2,0.410080183,0.385,低级别
‘00000269,975,9,2,0.543195719,0.555,低级别
‘00000270,994,563,3,0.303329223,0.652856556,低级别
‘00000274,975,338,4,0.505,0.552215517,低级别
‘00000275,975,445,3,0.446585273,0.493618848,低级别
‘00000280,974,320,3,0.641987627,0.748433446,低级别
‘00000282,964,271,2,0.651426907,0.625,低级别
‘00000283,964,268,2,0.462555066,0.465706848,低级别
‘00000289,937,219,2,0.900050226,0.910145655,低级别
‘00000291,936,90,2,0.840155106,0.778186127,低级别
‘00000292,930,619,2,0.820781254,0.9,低级别
‘00000294,930,40,3,0.743710692,0.858164308,低级别
‘00000296,914,575,2,0.742471443,0.815784008,低级别
‘00000297,914,15,3,0.361144506,0.400942534,低级别
‘00000302,898,179,4,0.850414469,0.667765637,低级别
‘00000304,898,339,2,1.226252159,1,低级别
‘00000305,890,98,29,0.596414,0.604486526,低级别
‘00000308,876,152,4,0.606429463,0.615,低级别
‘00000312,853,225,2,0.709953344,0.835,低级别
‘00000313,853,146,2,1.445954293,1.41,低级别
‘00000314,853,259,2,0.873651772,0.81,低级别
‘00000318,831,475,7,0.845784185,0.864285714,低级别
‘00000320,827,629,2,0.442181818,0.45,低级别
‘00000321,813,514,2,1.042314335,0.85,低级别
‘00000323,797,470,4,0.489405204,0.607416357,低级别
‘00000324,806,345,4,0.659082362,0.678582174,低级别
‘00000325,806,310,6,0.606369947,0.662168232,低级别
‘00000326,806,572,3,0.68559719,0.766881343,低级别
‘00000329,797,98,4,0.915047196,0.917856746,低级别
‘00000332,797,192,4,1.100236546,1.142732111,低级别
‘00000333,797,363,6,0.629742962,0.606007752,低级别
‘00000337,748,522,8,0.638750541,0.759752599,低级别
‘00000340,778,351,4,0.52023444,0.601737371,低级别
‘00000341,764,497,2,0.51765928,0.571918283,低级别
‘00000342,762,592,2,0.715062112,0.72503882,低级别
‘00000343,798,419,3,0.371000405,0.431969758,低级别
‘00000345,764,286,2,0.774849398,0.820139307,低级别
‘00000346,762,243,5,0.525889398,0.579120582,低级别
‘00000348,762,573,5,0.493095271,0.752615428,低级别
‘00000350,739,617,2,0.484972678,0.5,低级别
‘00000352,757,473,2,0.701847634,0.783105543,低级别
‘00000353,757,276,2,0.772884283,0.63,低级别
‘00000354,734,483,5,0.549677419,0.583077419,低级别
‘00000356,734,253,2,0.786386276,0.790641948,低级别
‘00000358,728,705,2,0.400728597,0.4,低级别
‘00000360,728,111,4,0.514886412,0.577963878,低级别
‘00000362,715,558,2,0.492122335,0.45,低级别
‘00000365,720,646,4,0.376879385,0.50387571,低级别
‘00000368,863,493,5,0.858378596,0.925769463,低级别
‘00000369,708,338,2,0.733730159,0.72297619,低级别
‘00000376,673,213,4,0.75768406,0.828395282,低级别
‘00000378,673,239,5,0.45044028,0.592917137,低级别
‘00000379,673,170,21,0.64087401,0.66829441,低级别
‘00000382,673,226,2,0.563229118,0.85734951,低级别
‘00000383,658,123,9,0.540240107,0.550365718,低级别
‘00000385,652,171,4,0.575392039,0.724993969,低级别
‘00000386,652,329,3,0.369445401,0.39763176,低级别
‘00000388,645,338,6,0.549351772,0.519187554,低级别
‘00000401,620,121,6,0.49329887,0.536261727,低级别
‘00000403,616,47,2,0.699077491,0.82,低级别
‘00000404,620,146,7,0.690075213,0.7623414,低级别
‘00000406,610,424,2,0.351109215,0.37318686,低级别
‘00000407,610,107,2,0.568040435,0.58,低级别
‘00000412,596,252,2,0.523770492,0.574644809,低级别
‘00000413,603,108,2,0.504065041,0.476829268,低级别
‘00000415,596,72,2,0.606651376,0.62,低级别
‘00000416,587,393,2,0.379562044,0.4,低级别
‘00000417,587,184,3,0.634694276,0.712361789,低级别
‘00000418,587,258,4,0.547399908,0.56169121,低级别
‘00000420,576,340,2,0.335253456,0.560426267,低级别
‘00000422,575,127,4,1.058449074,0.923978588,低级别
‘00000423,568,300,2,0.301800514,0.33,低级别
‘00000427,568,332,2,1.087811271,1,低级别
‘00000428,560,182,2,0.973309955,0.95,低级别
‘00000432,553,413,4,0.928571429,0.85639881,低级别
‘00000433,547,195,4,0.594013282,0.710726534,低级别
‘00000434,553,442,2,0.669432918,0.8,低级别
‘00000435,547,167,2,0.400613497,0.758803681,低级别
‘00000436,547,403,2,0.312191916,0.344150509,低级别
‘00000438,533,310,4,0.568124322,0.615739068,低级别
‘00000439,533,180,3,0.232756252,0.452107722,低级别
‘00000440,533,177,2,0.435397554,0.445,低级别
‘00000441,533,356,2,0.923656927,1,低级别
‘00000444,526,282,3,0.859471474,0.880316127,低级别
‘00000445,526,434,2,0.935897436,1,低级别
‘00000448,519,241,6,0.398467433,0.458735632,低级别
‘00000450,516,359,3,0.508151008,0.567942943,低级别
‘00000451,516,174,2,0.421124207,0.43768359,低级别
‘00000452,516,271,3,0.308836076,0.373390615,低级别
‘00000454,498,27,2,0.524651661,0.51,低级别
‘00000455,505,235,4,0.587683524,0.656721044,低级别
‘00000457,498,179,5,0.818700615,0.807100527,低级别
‘00000458,498,93,9,0.503240407,0.493896718,低级别
‘00000459,498,158,5,0.603253686,0.698,低级别
‘00000460,498,339,2,0.476956266,0.608266327,低级别
‘00000461,498,15,3,0.718012422,0.746507246,低级别
‘00000462,491,161,6,0.609907579,0.706891682,低级别
‘00000466,483,379,2,0.567877629,0.6,低级别
‘00000468,477,48,2,1.010761589,0.885,低级别
‘00000473,463,221,5,0.573155053,0.632945487,低级别
‘00000476,462,259,6,0.637262658,0.640561709,低级别
‘00000483,442,318,4,0.353319058,0.469771592,低级别
‘00000485,433,156,2,0.677731674,0.695,低级别
‘00000488,433,310,3,0.767019667,0.586762481,低级别
‘00000490,424,87,17,0.440462428,0.579478174,低级别
‘00000492,421,219,3,0.843601896,0.652257109,低级别
‘00000493,421,231,2,0.788461538,0.885,低级别
‘00000494,414,389,2,0.337024555,0.4,低级别
‘00000495,414,276,6,0.55659204,0.572321725,低级别
‘00000501,379,244,3,0.718809615,0.815200305,低级别
‘00000503,379,125,2,0.628227571,0.7,低级别
‘00000505,372,53,5,0.597537053,0.674929163,中等级别
‘00000507,412,142,7,0.506393648,0.609872963,低级别
‘00000509,515,403,3,0.746296795,0.770535955,低级别
‘00000512,410,281,2,0.474025974,0.46973027,低级别
‘00000513,2403,191,9,0.764167285,0.684788419,低级别
‘00000514,398,13,2,0.843320018,0.880288504,低级别
‘00000517,381,330,2,0.696679797,0.800337648,低级别
‘00000518,381,63,6,0.651474186,0.68398867,低级别
‘00000519,378,139,3,0.992112182,0.849574934,低级别
‘00000522,375,112,7,0.491883579,0.614916557,低级别
‘00000525,2448,226,3,0.812620734,0.85795235,低级别
‘00000528,2676,64,2,1.250465549,0.85,低级别
‘00000529,409,225,5,0.518075262,0.550440469,低级别
‘00000532,3050,70,2,0.63427257,0.574617596,低级别
‘00000535,3042,115,26,0.440974653,1.271262008,低级别
‘00000539,3040,170,21,0.704694386,0.784170914,低级别
‘00000546,3038,214,16,0.693359832,0.659911153,低级别
‘00000548,3025,309,3,0.343534507,0.56195646,低级别
‘00000549,3027,182,2,1.298869144,1.260387722,低级别
‘00000551,3037,372,2,0.403138794,0.475,低级别
‘00000552,3025,300,4,0.555508294,0.596737558,低级别
‘00000553,3023,501,2,0.967509025,1,低级别
‘00000556,3016,137,2,0.696245734,0.8,低级别
‘00000558,3020,430,3,0.71036036,0.663468468,低级别
‘00000564,3013,281,13,1.011871685,0.912970447,低级别
‘00000567,3013,641,5,0.762669343,0.7734571,低级别
‘00000569,3007,346,3,0.352974504,0.365977337,低级别
‘00000570,2998,727,3,0.640485541,0.624062835,低级别
‘00000572,3003,91,28,0.603058458,0.707233432,低级别
‘00000575,2989,525,4,0.604439592,0.703402475,低级别
‘00000577,3004,337,3,0.591215526,0.640183861,低级别
‘00000578,3010,648,2,0.500582298,0.675,低级别
‘00000582,2989,522,3,0.662541254,1.024985149,低级别
‘00000583,2976,371,5,0.746236865,0.788937802,低级别
‘00000585,3165,374,11,0.541760722,0.808731154,低级别
‘00000591,2961,97,7,0.484518828,0.541599721,低级别
‘00000593,2960,103,39,0.638928192,0.696407116,低级别
‘00000594,2982,598,3,0.550248139,0.570099256,低级别
‘00000601,2945,128,16,0.405113863,0.486848582,低级别
‘00000605,2944,377,2,0.515636364,0.525,低级别
‘00000606,2941,384,5,0.148139198,0.424710005,低级别
‘00000609,2938,569,2,0.467625899,0.5,低级别
‘00000611,2937,340,2,0.365836791,0.375,低级别
‘00000613,2970,324,3,0.212557227,0.65,低级别
‘00000614,2946,183,6,0.692235294,0.791797647,低级别
‘00000617,2936,531,2,0.49694967,0.575,低级别
‘00000618,2944,117,3,0.418353576,0.527604588,低级别
‘00000619,2949,632,2,1.081424936,1,低级别
‘00000623,2920,305,3,0.487251135,0.614764233,低级别
‘00000627,2938,312,6,0.351301115,0.392328489,低级别
‘00000632,2915,146,16,0.564424173,0.670273315,低级别
‘00000638,2909,30,8,0.728207421,0.74278498,低级别
‘00000639,2908,16,2,0.383793411,0.373588602,低级别
‘00000644,2912,601,3,0.853711118,0.82657838,低级别
‘00000646,2918,385,6,0.038962485,0.633502171,低级别
‘00000647,2903,222,14,0.818124738,0.733860053,低级别
‘00000648,2900,655,2,0.447080292,0.35,低级别
‘00000649,2904,492,3,0.561707591,0.666666667,低级别
‘00000650,2954,335,6,0.588401093,0.658801674,低级别
‘00000654,2894,268,3,0.54825462,0.593223819,低级别
‘00000662,2883,258,2,0.769935528,0.846484561,低级别
‘00000668,2907,90,2,0.224068479,0.41724572,低级别
‘00000671,2898,630,2,0.733118971,0.836093248,低级别
‘00000672,2885,177,2,0.433982115,0.76000263,低级别
‘00000677,2873,140,29,0.862797052,0.974156661,低级别
‘00000683,2874,445,7,0.44534413,0.62758407,低级别
‘00000690,2909,259,2,0.841743119,0.86,低级别
‘00000692,2894,192,15,0.579476465,0.664962548,低级别
‘00000695,2867,133,3,0.743648085,0.722332196,低级别
‘00000698,2861,373,13,0.514051688,0.653189286,低级别
‘00000700,2856,138,19,0.630370427,0.682200167,低级别
‘00000701,2867,347,5,0.625968586,0.61,低级别
‘00000703,2872,81,49,0.843415219,0.929462599,中等级别
‘00000710,2843,499,3,0.730040053,0.754312417,低级别
‘00000712,2850,504,2,1.062335382,1,低级别
‘00000720,2840,76,3,0.778958844,0.858345598,低级别
‘00000721,2848,171,22,0.673329597,0.71056884,低级别
‘00000724,2858,211,2,0.488307067,0.565,低级别
‘00000726,2869,574,2,0.831804281,0.85,低级别
‘00000727,2854,347,11,0.449923339,0.512644048,低级别
‘00000739,2844,165,12,1.039422738,0.968191098,低级别
‘00000741,2838,406,3,0.633464294,0.685706032,低级别
‘00000745,2832,218,2,0.584401709,0.625,低级别
‘00000749,2820,499,5,0.814241486,0.812941176,低级别
‘00000751,2831,221,11,0.447948929,0.571708489,低级别
‘00000761,2835,221,13,0.581543668,0.652312899,低级别
‘00000765,2824,439,3,0.252465483,0.901627219,低级别
‘00000768,2802,149,11,0.641204535,0.766072949,低级别
‘00000772,2813,81,5,0.599422522,0.584211742,低级别
‘00000773,2816,269,12,0.587223587,0.585479115,低级别
‘00000776,2830,418,9,0.479987804,0.712155607,低级别
‘00000783,2800,433,4,1.014863548,1.027308723,低级别
‘00000784,2807,293,6,0.483985765,0.56,低级别
‘00000785,2807,225,3,0.503378826,0.613156221,低级别
‘00000786,2798,319,3,0.479586563,0.483333333,低级别
‘00000790,2794,341,2,0.50519802,0.571720297,低级别
‘00000797,2791,389,2,0.524455206,0.572154964,低级别
‘00000810,2787,584,4,0.584965831,0.622050114,低级别
‘00000814,2809,178,4,1.495290252,1.452545455,低级别
‘00000815,2792,246,32,0.572657542,0.73487562,低级别
‘00000819,2769,431,5,0.623684753,0.531854756,低级别
‘00000820,2778,223,16,0.87006689,0.886102007,低级别
‘00000821,2775,276,3,0.819578828,0.979510529,低级别
‘00000822,2782,298,7,0.427368671,0.473443614,低级别
‘00000824,2769,274,5,0.573677774,0.548394986,低级别
‘00000825,2784,603,2,0.515042511,1.03,低级别
‘00000830,2745,118,2,1.544736842,0.89,低级别
‘00000832,2754,512,2,0.62550961,0.6,低级别
‘00000836,2745,337,18,1.284925429,1.434061733,高级别
‘00000839,2748,359,4,0.638289369,0.62146283,低级别
‘00000844,2750,443,3,0.952725724,0.883091993,低级别
‘00000846,2739,369,3,0.417914172,0.483333333,低级别
‘00000849,2750,504,3,1.073345259,1,低级别
‘00000850,2749,244,9,0.371176522,0.836728099,低级别
‘00000859,2745,570,3,1.01433929,1.153165674,低级别
‘00000863,2736,74,41,0.608802239,0.681449155,低级别
‘00000866,2786,526,4,0.72056338,0.786516432,低级别
‘00000871,2727,492,5,0.735074627,0.742852146,低级别
‘00000874,2732,159,2,0.669890664,0.675,低级别
‘00000878,2712,712,2,0.819033886,0.8,低级别
‘00000879,2751,189,3,0.262085571,0.3,低级别
‘00000880,2725,130,18,0.998610524,0.909421857,低级别
‘00000883,2714,565,2,0.341344479,0.843573668,低级别
‘00000885,2699,215,7,0.921058908,0.966496542,低级别
‘00000886,2717,159,2,0.650990099,0.685,低级别
‘00000888,2706,185,5,0.942172149,0.840971273,低级别
‘00000893,2708,149,2,0.704307334,0.72,低级别
‘00000895,2717,522,2,0.871611983,0.906276748,低级别
‘00000901,2710,194,2,0.920289855,0.92,低级别
‘00000902,2709,469,2,0.499062793,0.75,低级别
‘00000909,2697,533,4,0.349445129,0.50244143,低级别
‘00000910,2702,125,2,1.066624499,1.177552182,低级别
‘00000912,2697,187,2,0.946409432,0.92,低级别
‘00000913,2702,239,4,0.444002358,0.646923077,低级别
‘00000914,2699,165,7,0.544638094,0.61780722,低级别
‘00000919,2701,363,3,0.499270499,0.490078786,低级别
‘00000923,2687,433,3,0.658610272,0.696072508,低级别
‘00000924,2670,567,5,0.986737401,1,低级别
‘00000925,2696,544,2,0.75,0.75,低级别
‘00000931,2696,251,5,0.920289855,0.92,低级别
‘00000936,2713,253,3,0.566108374,0.622344828,低级别
‘00000938,2679,547,4,0.392571429,0.590262857,低级别
‘00000939,2676,199,8,0.442324792,0.580649907,低级别
‘00000952,2699,44,2,0.665480427,0.77,低级别
‘00000956,2674,492,7,0.848888889,0.740830918,低级别
‘00000959,2674,431,2,0.690525588,0.825,低级别
‘00000962,2678,460,3,0.441577512,0.514317181,低级别
‘00000964,2671,721,2,0.366972477,0.375,低级别
‘00000967,2681,362,3,0.738427874,0.826544353,低级别
‘00000975,2668,319,6,0.606495468,0.607068228,低级别
‘00000976,2678,309,11,0.798050827,0.757512953,低级别
‘00000977,2676,131,6,0.814315353,0.887857143,低级别
‘00000979,2658,371,11,0.714447884,0.806511868,低级别
‘00000982,2673,299,4,0.620467941,0.689105197,低级别
‘00000984,2655,258,11,0.606700594,0.587536896,低级别
‘00000985,2688,305,3,0.715978226,0.851440922,低级别
‘00000995,2633,75,2,0.63666947,0.735,低级别
‘00001002,2647,271,12,0.798834019,0.790096022,低级别
‘00001003,2629,210,2,0.72007913,0.842959941,低级别
‘00001004,2657,262,6,0.939516129,1.069506048,低级别
‘00001012,2612,132,3,0.37515528,0.368136646,低级别
‘00001015,2626,243,3,0.687331536,0.75,低级别
‘00001025,2600,86,4,0.560999039,0.522788985,低级别
‘00001027,2602,489,4,0.489414695,0.816251557,低级别
‘00001032,2616,652,2,0.43852303,0.774476589,低级别
‘00001036,2611,350,5,0.792943492,0.818498735,低级别
‘00001045,2599,302,2,0.57486911,0.56,低级别
‘00001046,2586,502,2,0.349301397,1,低级别
‘00001050,2591,641,2,0.81218638,0.945698925,低级别
‘00001051,2582,478,2,0.715492958,0.720241449,低级别
‘00001052,2597,512,11,0.617376475,0.750724768,低级别
‘00001056,2586,531,2,0.762935586,0.779012672,低级别
‘00001062,2602,31,2,0.62078554,0.677219326,低级别
‘00001065,2593,152,3,0.549573974,0.633359799,低级别
‘00001069,2607,65,94,0.794609032,0.839762709,中等级别
‘00001075,2581,30,2,0.540162684,0.625,低级别
‘00001080,2560,314,29,1.313989893,1.452817752,高级别
‘00001083,2570,323,6,0.68406247,0.972257251,低级别
‘00001089,2558,102,2,0.662033015,0.730150594,低级别
‘00001090,2571,239,11,0.76821608,0.767111338,低级别
‘00001091,2576,172,5,0.295910325,0.326690603,低级别
‘00001094,2562,280,2,0.573387695,0.598480356,低级别
‘00001098,2579,162,7,0.708565709,0.710760761,低级别
‘00001101,2557,163,37,1.433004014,1.428155295,低级别
‘00001105,2583,179,11,0.626854868,0.59188346,低级别
‘00001107,2615,322,3,0.670542636,0.740419089,低级别
‘00001115,2549,109,38,0.835239598,0.852323671,低级别
‘00001120,2531,104,2,0.640041494,0.765,低级别
‘00001123,2520,135,19,0.628543564,0.988910129,低级别
‘00001126,2520,662,3,0.684585848,0.744871092,低级别
‘00001129,2525,348,7,0.475857687,0.55613723,低级别
‘00001132,2531,705,3,0.216438356,0.816347032,低级别
‘00001141,2507,172,19,0.488658301,0.71278676,低级别
‘00001145,2504,429,8,0.654191617,0.64005988,低级别
‘00001156,2496,473,2,1.176908752,0.8,低级别
‘00001158,2527,28,4,0.565874163,0.75395245,低级别
‘00001162,2495,123,52,0.598473161,0.618005249,低级别
‘00001173,2475,80,3,0.72462489,0.76,低级别
‘00001177,2497,199,2,0.731935772,0.772894737,低级别
‘00001182,2483,176,14,0.560447912,0.577250203,低级别
‘00001184,2483,600,11,0.505599905,0.559090909,低级别
‘00001186,2485,490,2,0.442967885,0.8,低级别
‘00001188,2478,444,2,1,1,低级别
‘00001195,2484,223,3,0.760897853,0.694053351,低级别
‘00001197,2469,393,4,0.55704441,0.818415008,低级别
‘00001203,2457,627,7,0.26287782,0.823499361,低级别
‘00001208,2456,296,4,0.522372372,0.597881381,低级别
‘00001210,2440,551,2,0.807164634,0.725,低级别
‘00001215,2557,567,2,0.732365145,0.875,低级别
‘00001218,2457,628,4,0.859561278,0.811278016,低级别
‘00001219,2394,302,3,0.597879109,0.687484624,低级别
‘00001221,2389,531,4,0.262017659,0.725,低级别
‘00001222,2394,440,2,0.386106001,0.5,低级别
‘00001223,2408,160,7,1.06184739,0.857791165,低级别
‘00001226,2366,208,4,0.714775939,0.729495357,低级别
‘00001227,2365,348,6,0.597894109,0.664721367,低级别
‘00001232,2331,347,2,0.683125236,0.75,低级别
‘00001235,2314,358,6,0.627332759,0.716666667,低级别
‘00001237,2307,569,2,1.057436518,1.1,低级别
‘00001238,2291,225,2,1.29531052,0.831692015,低级别
‘00001239,2288,262,12,0.679015919,0.651087554,低级别
‘00001244,2225,252,12,0.370294447,0.698903591,低级别
‘00001245,2232,541,2,0.257731959,0.45,低级别
‘00001248,2246,351,2,0.589792971,0.7,低级别
‘00001255,2198,363,4,0.60899654,0.624740484,低级别
‘00001259,2189,348,3,0.599906191,0.646130394,低级别
‘00001261,2108,313,2,0.712435233,0.641968912,低级别
‘00001265,2035,139,5,0.571843673,0.596357693,低级别
‘00001266,2043,291,13,0.623726812,0.692305762,低级别
‘00001269,2016,600,3,0.745072273,0.7,低级别
‘00001270,1988,542,8,0.837426326,0.973637033,低级别
‘00001273,1981,501,2,0.879152348,0.825,低级别
‘00001276,1945,166,7,0.554221424,0.601952349,低级别
‘00001279,1916,258,7,0.695697796,0.791552116,低级别
‘00001281,1907,162,17,0.599936558,0.773990167,低级别
‘00001286,1898,363,4,0.883748874,0.740913187,低级别
‘00001287,1897,521,2,0.391912908,0.4,低级别
‘00001288,1925,49,4,0.756502007,0.812023041,低级别
‘00001293,1875,435,2,0.809778598,0.95,低级别
‘00001296,1867,61,2,0.872824632,0.815,低级别
‘00001299,1844,264,9,1.035373187,0.753422356,低级别
‘00001300,1904,502,2,0.475035679,0.524796163,低级别
‘00001302,1819,326,9,0.551034295,0.752277264,低级别
‘00001304,1865,197,11,0.970339694,1.093798198,低级别
‘00001305,1906,159,5,0.490395923,0.578618189,低级别
‘00001306,1817,410,6,0.446362098,0.918629442,中等级别
‘00001307,1801,634,3,0.696117805,0.65,低级别
‘00001308,1806,80,27,0.334501106,0.585561058,低级别
‘00001309,1819,371,4,0.685863874,0.709270626,低级别
‘00001311,1734,263,3,0.784288052,0.825096563,低级别
‘00001313,1737,447,3,0.486235252,0.951555238,低级别
‘00001317,1726,288,7,0.439265851,0.558427141,低级别
‘00001319,1741,368,6,0.501729534,0.554591501,低级别
‘00001320,1702,719,2,0.532881573,0.621942446,低级别
‘00001323,1691,404,2,0.943134535,1,低级别
‘00001324,1684,470,4,0.507964216,0.65517674,低级别
‘00001327,1680,215,5,0.500858615,0.644804665,低级别
‘00001330,1665,120,17,0.702135803,0.730798438,低级别
‘00001331,1673,601,2,0.829284307,0.893729481,低级别
‘00001334,1658,89,18,0.58116177,0.627308316,低级别
‘00001338,1630,188,12,0.971584845,0.665951174,低级别
‘00001342,1705,398,7,0.822675049,0.785714286,低级别
‘00001343,1629,366,2,0.489220564,0.5,低级别
‘00001344,1603,289,14,0.909594634,1.137171916,低级别
‘00001350,1575,575,2,0.552786378,0.75,低级别
‘00001352,1568,375,2,0.355286532,0.72505099,低级别
‘00001355,1551,338,5,0.303878963,0.670658297,低级别
‘00001361,1522,245,4,0.772897898,0.705,低级别
‘00001362,1519,559,2,0.526721233,0.625,低级别
‘00001364,1510,488,3,0.158494304,0.602080238,低级别
‘00001365,1524,653,2,0.454217736,1,低级别
‘00001367,1496,306,6,0.699152844,0.987805937,低级别
‘00001369,1492,117,32,0.646316432,0.638760956,低级别
‘00001371,1488,345,5,0.758649322,0.78508165,低级别
‘00001373,1485,372,2,0.181656278,0.409461264,低级别
‘00001377,1472,556,2,1.150642138,1.5,低级别
‘00001384,1456,308,8,0.711552824,0.822017005,低级别
‘00001386,1451,197,2,0.504801097,0.472830361,低级别
‘00001387,1447,715,2,0.587811271,0.65,低级别
‘00001388,1443,206,2,0.697403286,0.735,低级别
‘00001399,1383,713,2,0.800191205,0.9,低级别
‘00001400,1377,580,3,0.714455177,0.826666667,低级别
‘00001401,1373,412,8,0.508567172,0.716240377,低级别
‘00001406,1358,401,4,0.442990581,0.5625,低级别
‘00001409,1333,552,3,0.154028436,0.30971564,低级别
‘00001414,1312,184,3,0.53097809,0.684556033,低级别
‘00001416,1307,712,2,0.517059106,0.515593465,低级别
‘00001418,1301,233,4,0.810516974,0.846106057,低级别
‘00001421,1296,152,2,0.887861984,0.906038201,低级别
‘00001422,1299,386,8,0.87360295,0.911861966,低级别
‘00001426,1366,663,2,0.775198033,0.875,低级别
‘00001427,1285,207,14,0.684902149,0.803209069,低级别
‘00001430,1271,435,4,0.529141104,0.640736196,低级别
