MEMBER_NO,y_train
бо00062804,0
бо00056319,0
бо00052662,0
бо00002256,1
бо00014716,0
бо00050281,1
бо00018044,0
бо00025014,1
бо00031512,0
бо00014335,1
бо00046404,0
бо00052963,0
бо00061094,1
бо00005495,1
бо00020344,0
бо00029210,0
бо00051908,0
бо00061415,1
бо00020815,1
бо00035548,0
бо00032159,0
бо00000298,0
бо00031437,1
бо00000725,0
бо00009956,0
бо00019524,0
бо00007981,0
бо00044980,0
бо00059319,0
бо00028207,0
бо00015635,1
бо00018589,0
бо00019795,1
бо00045920,1
бо00038803,1
бо00046808,1
бо00052194,1
бо00043489,1
бо00020215,0
бо00013471,1
бо00025349,1
бо00034746,0
бо00006728,1
бо00046009,1
бо00032231,0
бо00050062,0
бо00037953,1
бо00025145,0
бо00013928,1
бо00001222,1
бо00038570,0
бо00020862,0
бо00051946,0
бо00015118,1
бо00061936,0
бо00000343,1
бо00014164,0
бо00044954,1
бо00058327,0
бо00045156,0
бо00036117,0
бо00038548,0
бо00037692,1
бо00035000,1
бо00007532,0
бо00015825,0
бо00046334,0
бо00043519,1
бо00061236,0
бо00058149,0
бо00038695,0
бо00019441,0
бо00044868,1
бо00052899,0
бо00025414,1
бо00004293,1
бо00038243,1
бо00006278,1
бо00040648,1
бо00059562,1
бо00010250,0
бо00028592,1
бо00057243,0
бо00030783,1
бо00004082,0
бо00024154,1
бо00033430,0
бо00059007,1
бо00057766,1
бо00058971,1
бо00023604,0
бо00008108,0
бо00028087,0
бо00049419,1
бо00000549,1
бо00040015,0
бо00045462,1
бо00049228,0
бо00002748,0
бо00041427,0
бо00050724,0
бо00039403,1
бо00021391,0
бо00037861,1
бо00048405,0
бо00015102,0
бо00059661,0
бо00026634,0
бо00055122,0
бо00061792,1
бо00047480,0
бо00026995,1
бо00000606,1
бо00053719,0
бо00060579,0
бо00029401,1
бо00035264,0
бо00020932,1
бо00027354,1
бо00030863,0
бо00033687,0
бо00058714,0
бо00043045,1
бо00019637,0
бо00020851,1
бо00050256,1
бо00034492,1
бо00062403,0
бо00055456,0
бо00004447,0
бо00025786,0
бо00057508,1
бо00035006,1
бо00006482,1
бо00029329,0
бо00010066,1
бо00003466,1
бо00032762,0
бо00060828,1
бо00030934,1
бо00030986,0
бо00058565,0
бо00013933,0
бо00035414,0
бо00047966,1
бо00044406,0
бо00061895,1
бо00012463,1
бо00015952,0
бо00028732,1
бо00054803,1
бо00054998,0
бо00052311,1
бо00010205,0
бо00039594,0
бо00014321,0
бо00039541,1
бо00003962,0
бо00033503,1
бо00032591,0
бо00058400,0
бо00001860,1
бо00036286,1
бо00033799,1
бо00005229,1
бо00014016,0
бо00053780,0
бо00045054,0
бо00015152,0
бо00029668,1
бо00059993,1
бо00002630,0
бо00046739,1
бо00032550,0
бо00054432,1
бо00014998,0
бо00042441,1
бо00049443,0
бо00050056,1
бо00000354,1
бо00032781,1
бо00033435,0
бо00059662,1
бо00053381,1
бо00005270,0
бо00050740,0
бо00051379,1
бо00046946,0
бо00027179,1
бо00005060,0
бо00059149,0
бо00007160,0
бо00026139,0
бо00030173,1
бо00007902,0
бо00038647,1
бо00022031,1
бо00032772,0
бо00025938,0
бо00045272,1
бо00006100,0
бо00003399,1
бо00015091,0
бо00049691,0
бо00041900,0
бо00052649,0
бо00058194,1
бо00050985,0
бо00062195,0
бо00043883,0
бо00055203,0
бо00011980,0
бо00006156,0
бо00037921,1
бо00043451,1
бо00017661,0
бо00046029,0
бо00018178,0
бо00032850,1
бо00026086,0
бо00002623,0
бо00038641,0
бо00048624,0
бо00004333,0
бо00033851,1
бо00032609,0
бо00033595,1
бо00025234,1
бо00041678,0
бо00021467,1
бо00060433,1
бо00027576,1
бо00054560,0
бо00022787,1
бо00007620,1
бо00043806,1
бо00051678,0
бо00042129,0
бо00000509,1
бо00046567,0
бо00033797,1
бо00009521,0
бо00043955,1
бо00030344,1
бо00018757,0
бо00009353,0
бо00029559,0
бо00050850,1
бо00026745,0
бо00041449,0
бо00060055,1
бо00025133,1
бо00010282,0
бо00012537,1
бо00002084,0
бо00056917,1
бо00006608,1
бо00054297,1
бо00062618,1
бо00014482,1
бо00013438,1
бо00003150,0
бо00041129,0
бо00044359,0
бо00026031,1
бо00013968,0
бо00032205,0
бо00043063,0
бо00057953,1
бо00045124,1
бо00037622,1
бо00025028,0
бо00032222,0
бо00053735,1
бо00016058,1
бо00024990,1
бо00045984,0
бо00018355,1
бо00045848,0
бо00022527,0
бо00001686,0
бо00040801,1
бо00062089,0
бо00008764,1
бо00057470,1
бо00031792,0
бо00060132,1
бо00032139,0
бо00043761,0
бо00056912,0
бо00013681,0
бо00044728,0
бо00049031,0
бо00060082,1
бо00008122,1
бо00025554,1
бо00017904,0
бо00011381,0
бо00043018,1
бо00055751,0
бо00058657,0
бо00028067,1
бо00031310,0
бо00052010,1
бо00007075,1
бо00023285,0
бо00048239,1
бо00018058,0
бо00045294,1
бо00038821,0
бо00053042,1
бо00029515,1
бо00014277,1
бо00009025,1
бо00061384,0
бо00005880,1
бо00043296,1
бо00011309,0
бо00051952,1
бо00010716,0
бо00044522,0
бо00005056,1
бо00001594,1
бо00043782,0
бо00021159,0
бо00046468,1
бо00037338,0
бо00038530,0
бо00058964,0
бо00025698,1
бо00005596,1
бо00037014,0
бо00038324,0
бо00043114,0
бо00021054,1
бо00062179,0
бо00062733,0
бо00059640,0
бо00050919,0
бо00041701,0
бо00024223,0
бо00052760,1
бо00053690,0
бо00029900,1
бо00012160,0
бо00014671,0
бо00053660,0
бо00053889,0
бо00055312,0
бо00025872,0
бо00010857,0
бо00029097,0
бо00046880,0
бо00047588,0
бо00049230,0
бо00038493,0
бо00043431,0
бо00029613,0
бо00060446,0
бо00021673,1
бо00051861,1
бо00047459,0
бо00013336,0
бо00052125,0
бо00056166,0
бо00044716,0
бо00052026,0
бо00046467,0
бо00000890,0
бо00050011,1
бо00048436,0
бо00028104,0
бо00011704,1
бо00005461,0
бо00041713,0
бо00004569,1
бо00028659,0
бо00058495,0
бо00018658,0
бо00027094,1
бо00010509,1
бо00018049,1
бо00029176,0
бо00025846,0
бо00007465,1
бо00058670,0
бо00047303,1
бо00014722,1
бо00018089,0
бо00045428,1
бо00047324,1
бо00009199,1
бо00044091,0
бо00010216,0
бо00023254,1
бо00008750,0
бо00002352,0
бо00032738,1
бо00061603,1
бо00047918,0
бо00032341,1
бо00037719,1
бо00024957,0
бо00036131,1
бо00059078,1
бо00009217,0
бо00026372,1
бо00052209,0
бо00017421,1
бо00062091,0
бо00001029,0
бо00021171,0
бо00049749,1
бо00028181,0
бо00043145,0
бо00016234,0
бо00047738,0
бо00039658,0
бо00008311,0
бо00052322,1
бо00004070,1
бо00034564,0
бо00038594,0
бо00047831,0
бо00005388,1
бо00022732,1
бо00023978,1
бо00009843,0
бо00034105,0
бо00049139,1
бо00037818,0
бо00010695,1
бо00033413,1
бо00047619,0
бо00010305,0
бо00052502,0
бо00040062,0
бо00017150,0
бо00027921,0
бо00039861,0
бо00015579,1
бо00062397,0
бо00010561,1
бо00018974,0
бо00035107,1
бо00039605,1
бо00018805,0
бо00033793,0
бо00016728,0
бо00004817,1
бо00041727,0
бо00020013,0
бо00036606,0
бо00018484,0
бо00008691,1
бо00008428,0
бо00036142,0
бо00053010,1
бо00012006,0
бо00055450,0
бо00009806,0
бо00019641,1
бо00027494,1
бо00034542,1
бо00055296,0
бо00035683,1
бо00040350,0
бо00032036,0
бо00053555,1
бо00022620,0
бо00006326,0
бо00033993,1
бо00047761,0
бо00002218,1
бо00003602,0
бо00047197,0
бо00025954,1
бо00010442,1
бо00031039,1
бо00010256,1
бо00059329,0
бо00016201,0
бо00008178,1
бо00016297,0
бо00011397,0
бо00031688,0
бо00006642,1
бо00005161,0
бо00027830,0
бо00008382,1
бо00027312,1
бо00042043,1
бо00041068,1
бо00007132,0
бо00049528,1
бо00051128,1
бо00015548,0
бо00028636,0
бо00003235,0
бо00038517,0
бо00051178,0
бо00014813,0
бо00004819,1
бо00062264,0
бо00006347,1
бо00025745,1
бо00058050,0
бо00045231,0
бо00055043,1
бо00000312,1
бо00024638,0
бо00045115,0
бо00044916,0
бо00044923,0
бо00059280,0
бо00017839,0
бо00039878,0
бо00032388,1
бо00048535,1
бо00023996,1
бо00047682,1
бо00036241,1
бо00050781,0
бо00004203,0
бо00030753,0
бо00023417,0
бо00033382,1
бо00012631,1
бо00009717,0
бо00019894,0
бо00061771,0
бо00031114,1
бо00046352,0
бо00023502,1
бо00044225,0
бо00039645,0
бо00047367,1
бо00004389,0
бо00047924,0
бо00047745,1
бо00007728,0
бо00002648,0
бо00008600,0
бо00018080,0
бо00016156,1
бо00056710,0
бо00042193,0
бо00004505,0
бо00062651,0
бо00037002,1
бо00032817,1
бо00045435,0
бо00022663,1
бо00035464,0
бо00030436,0
бо00048279,0
бо00035705,0
бо00034927,0
бо00047188,0
бо00061987,0
бо00046535,1
бо00058258,1
бо00051100,1
бо00041603,0
бо00007838,0
бо00008751,0
бо00011719,1
бо00049811,0
бо00046990,1
бо00018472,0
бо00042192,0
бо00025993,0
бо00031139,1
бо00016366,0
бо00004767,0
бо00001321,0
бо00004813,0
бо00024136,0
бо00060213,1
бо00015167,0
бо00058923,1
бо00003184,1
бо00039020,1
бо00005873,0
бо00028872,1
бо00023898,1
бо00025819,0
бо00040333,0
бо00051544,0
бо00045113,0
бо00029705,1
бо00012489,1
бо00026863,1
бо00012412,0
бо00032823,0
бо00039060,0
бо00017636,0
бо00020581,1
бо00051259,0
бо00042913,0
бо00034869,1
бо00047982,0
бо00014753,1
бо00037799,0
бо00024697,1
бо00016579,0
бо00000743,0
бо00022086,0
бо00043940,0
бо00062101,0
бо00046496,0
бо00043562,0
бо00019399,1
бо00044950,0
бо00021645,0
бо00051147,1
бо00007582,0
бо00011480,1
бо00049822,0
бо00060402,0
бо00046222,0
бо00043830,0
бо00046328,0
бо00050853,0
бо00003638,1
бо00046245,1
бо00025851,1
бо00055439,1
бо00014110,0
бо00043778,1
бо00044422,0
бо00041875,0
бо00022904,1
бо00023326,0
бо00010096,1
бо00005974,1
бо00042894,1
бо00010584,0
бо00033553,0
бо00006611,0
бо00041412,0
бо00026350,1
бо00015544,0
бо00032532,1
бо00060256,0
бо00030393,1
бо00045513,1
бо00000362,1
бо00006942,1
бо00053559,1
бо00059035,1
бо00052576,0
бо00054524,0
бо00026599,0
бо00013932,0
бо00023054,1
бо00047201,0
бо00009868,0
бо00062071,1
бо00015518,0
бо00045366,1
бо00005778,1
бо00035824,1
бо00021128,0
бо00009223,0
бо00058775,0
бо00033270,1
бо00043235,1
бо00036775,0
бо00051474,0
бо00024252,0
бо00060148,0
бо00024206,0
бо00044857,1
бо00016089,1
бо00032129,0
бо00052049,1
бо00026032,0
бо00050644,1
бо00054836,1
бо00038060,1
бо00028233,0
бо00051330,0
бо00026788,0
бо00045125,1
бо00012328,0
бо00001565,0
бо00054784,1
бо00046839,1
бо00022329,1
бо00005718,0
бо00027974,1
бо00024960,0
бо00022612,1
бо00011784,0
бо00046831,1
бо00003173,0
бо00056045,0
бо00026583,0
бо00010441,0
бо00038313,0
бо00035533,1
бо00006946,1
бо00016778,0
бо00029890,1
бо00041375,0
бо00038522,1
бо00058146,0
бо00060618,0
бо00012423,0
бо00009334,1
бо00003011,1
бо00028806,1
бо00012781,1
бо00013057,0
бо00060500,1
бо00056162,0
бо00044944,0
бо00017023,1
бо00006922,1
бо00049946,0
бо00022280,0
бо00015984,1
бо00030505,0
бо00045401,0
бо00060961,0
бо00060605,0
бо00057902,0
бо00042746,0
бо00027226,1
бо00048165,0
бо00005861,1
бо00049734,1
бо00008243,0
бо00028015,1
бо00053840,1
бо00035538,0
бо00044369,1
бо00056977,1
бо00036065,0
бо00053090,0
бо00005640,0
бо00029899,0
бо00034074,0
бо00057571,1
бо00013783,0
бо00061597,0
бо00004323,1
бо00010121,1
бо00042836,1
бо00035131,0
бо00014605,0
бо00048243,0
бо00057698,0
бо00042921,1
бо00049380,0
бо00007794,0
бо00027547,1
бо00041662,0
бо00038383,0
бо00010608,0
бо00031957,1
бо00013540,0
бо00019889,0
бо00017911,0
бо00048087,0
бо00037468,1
бо00008506,1
бо00045870,0
бо00003046,0
бо00059810,1
бо00007652,0
бо00061067,0
бо00050119,1
бо00061092,0
бо00052920,0
бо00003730,0
бо00030965,1
бо00005014,0
бо00012563,1
бо00046823,1
бо00023531,0
бо00004675,1
бо00046306,0
бо00010433,0
бо00002266,0
бо00004810,1
бо00032343,1
бо00056486,0
бо00001523,1
бо00028330,0
бо00018562,0
бо00040653,1
бо00033736,0
бо00036970,1
бо00023616,1
бо00013705,1
бо00027959,1
бо00034184,0
бо00002336,0
бо00002383,0
бо00034814,0
бо00020284,0
бо00018890,0
бо00048442,1
бо00013002,0
бо00038894,1
бо00043228,1
бо00042825,0
бо00039677,1
бо00046520,0
бо00005241,0
бо00032483,1
бо00006895,1
бо00039181,0
бо00009875,0
бо00010494,1
бо00029996,0
бо00009720,1
бо00002598,0
бо00060216,0
бо00007051,1
бо00036442,0
бо00006610,0
бо00019202,0
бо00025329,1
бо00033653,0
бо00049244,0
бо00026897,0
бо00051937,0
бо00058190,0
бо00000004,0
бо00044410,1
бо00014014,0
бо00040857,0
бо00032723,0
бо00015749,0
бо00006480,0
бо00011002,1
бо00058566,1
бо00012121,0
бо00055888,0
бо00028815,0
бо00053800,0
бо00060117,1
бо00029170,0
бо00038449,0
бо00040852,1
бо00043762,0
бо00023346,0
бо00057439,1
бо00015501,1
бо00036475,0
бо00027997,0
бо00058067,1
бо00000766,0
бо00027266,1
бо00008190,0
бо00002615,0
бо00019106,1
бо00054137,0
бо00047909,0
бо00058216,0
бо00012583,0
бо00018385,0
бо00014901,0
бо00047238,1
бо00030100,1
бо00004630,0
бо00002840,1
бо00042806,1
бо00034920,1
бо00048306,0
бо00027820,0
бо00028895,0
бо00047651,0
бо00032467,1
бо00058689,1
бо00003506,0
бо00052085,0
бо00035877,0
бо00022878,0
бо00015824,1
бо00009002,0
бо00007029,0
бо00052196,0
бо00019539,1
бо00011406,0
бо00025995,0
бо00038943,0
бо00004734,0
бо00012880,0
бо00056890,1
бо00037697,0
бо00000257,0
бо00061550,0
бо00023958,0
бо00031648,1
бо00006684,1
бо00054759,0
бо00022144,0
бо00045792,0
бо00033276,0
бо00056496,1
бо00000581,0
бо00032744,1
бо00009837,0
бо00030634,0
бо00056704,0
бо00005164,0
бо00055356,1
бо00000150,0
бо00009152,1
бо00006762,1
бо00053028,0
бо00023610,1
бо00002727,0
бо00007808,0
бо00027832,1
бо00052806,0
бо00062964,0
бо00036143,0
бо00048361,0
бо00034291,0
бо00043681,1
бо00060715,1
бо00036401,0
бо00003607,0
бо00023435,1
бо00054664,0
бо00008613,1
бо00022590,0
бо00008484,0
бо00037985,0
бо00061197,0
бо00021808,0
бо00056126,1
бо00027037,0
бо00057227,0
бо00010235,1
бо00056443,0
бо00056915,0
бо00040240,0
бо00038890,1
бо00035777,1
бо00032619,0
бо00052642,0
бо00032867,1
бо00058947,0
бо00031828,1
бо00014525,0
бо00054956,0
бо00011994,1
бо00039118,1
бо00031811,0
бо00062829,0
бо00024228,0
бо00057450,0
бо00021106,0
бо00006130,0
бо00051507,0
бо00004359,0
бо00057385,0
бо00013590,0
бо00013077,0
бо00050940,0
бо00043739,0
бо00059455,0
бо00000452,1
бо00034895,0
бо00012544,1
бо00019001,1
бо00048829,1
бо00046278,0
бо00002775,0
бо00032728,0
бо00054285,1
бо00011934,0
бо00023819,0
бо00026172,1
бо00057648,0
бо00052143,0
бо00053169,0
бо00012071,0
бо00031624,0
бо00019627,1
бо00038394,0
бо00008429,1
бо00031643,0
бо00045160,0
бо00005367,0
бо00029784,0
бо00061131,0
бо00037036,1
бо00016867,0
бо00005197,0
бо00005432,0
бо00024985,1
бо00016795,1
бо00054890,1
бо00003810,1
бо00041627,0
бо00007783,0
бо00036644,1
бо00034257,0
бо00048176,1
бо00041767,0
бо00038930,1
бо00022943,1
бо00042782,1
бо00008319,1
бо00009274,1
бо00036272,0
бо00060414,1
бо00043582,0
бо00013090,1
бо00019368,1
бо00062918,0
бо00051805,0
бо00012556,0
бо00016886,0
бо00022877,0
бо00048792,1
бо00049676,0
бо00020315,0
бо00043836,0
бо00051369,0
бо00053927,1
бо00000179,0
бо00015618,1
бо00052370,0
бо00035183,1
бо00062511,1
бо00034883,1
бо00044541,0
бо00037709,0
бо00014553,1
бо00045273,1
бо00039977,0
бо00017635,1
бо00024492,1
бо00028316,0
бо00054268,1
бо00035664,1
бо00024319,1
бо00056090,0
бо00050295,1
бо00010037,1
бо00049205,0
бо00039535,0
бо00040858,0
бо00015960,0
бо00034076,0
бо00041422,1
бо00047677,0
бо00048646,0
бо00021695,1
бо00032954,0
бо00033058,1
бо00049951,1
бо00018248,0
бо00010317,0
бо00036569,0
бо00053209,0
бо00036413,0
бо00054826,0
бо00053816,0
бо00062797,0
бо00040464,1
бо00026225,0
бо00019365,0
бо00005175,0
бо00000882,0
бо00025986,0
бо00056099,0
бо00035779,0
бо00023946,1
бо00016162,0
бо00042952,1
бо00047231,0
бо00062521,0
бо00037703,0
бо00012773,0
бо00037899,0
бо00030580,1
бо00024376,1
бо00049212,0
бо00040310,1
бо00033293,0
бо00035734,1
бо00023307,0
бо00048796,0
бо00028252,0
бо00053081,0
бо00003297,0
бо00039809,0
бо00036561,0
бо00029505,0
бо00057635,0
бо00012581,1
бо00007095,1
бо00028136,1
бо00034171,0
бо00016204,0
бо00036754,0
бо00030335,1
бо00028552,1
бо00058331,0
бо00026134,1
бо00055570,1
бо00006459,1
бо00053125,0
бо00060426,0
бо00055130,0
бо00017000,0
бо00062767,1
бо00002789,0
бо00053917,0
бо00037320,0
бо00027043,0
бо00022221,0
бо00042970,1
бо00035190,0
бо00011354,1
бо00010533,0
бо00055733,0
бо00053742,0
бо00034698,1
бо00014162,1
бо00009436,0
бо00040945,0
бо00047562,1
бо00033511,0
бо00011658,0
бо00060460,0
бо00001611,0
бо00047487,0
бо00038892,0
бо00040702,0
бо00054174,0
бо00008784,0
бо00050737,1
бо00061613,1
бо00045380,1
бо00038950,0
бо00018941,0
бо00052625,0
бо00004700,0
бо00004702,1
бо00004718,0
бо00029680,1
бо00019049,1
бо00052874,0
бо00019458,1
бо00058418,0
бо00004719,1
бо00055547,1
бо00011623,0
бо00004376,0
бо00023084,0
бо00023339,1
бо00029434,0
бо00004821,0
бо00061878,0
бо00061681,1
бо00023890,0
бо00020046,1
бо00000433,1
бо00062751,0
бо00003493,1
бо00008112,0
бо00058245,0
бо00028550,0
бо00042775,1
бо00040659,1
бо00017651,0
бо00051501,1
бо00043189,1
бо00002421,0
бо00042280,0
бо00040636,0
бо00017178,1
бо00008976,1
бо00007013,0
бо00001509,0
бо00056536,0
бо00004198,1
бо00054357,0
бо00045711,0
бо00034282,0
бо00039963,0
бо00017432,0
бо00021706,0
бо00007336,0
бо00061413,0
бо00015790,0
бо00062791,0
бо00046892,1
бо00010435,1
бо00039654,0
бо00002805,0
бо00038556,0
бо00018378,0
бо00062540,0
бо00062762,0
бо00050408,1
бо00044103,0
бо00031179,0
бо00034661,0
бо00059195,1
бо00024763,1
бо00025257,0
бо00010783,1
бо00001921,0
бо00056140,0
бо00039173,1
бо00023962,0
бо00059673,0
бо00032484,0
бо00046918,0
бо00058326,0
бо00028521,0
бо00017111,0
бо00050763,1
бо00027650,0
бо00012185,0
бо00047336,0
бо00014900,0
бо00050167,0
бо00062010,0
бо00020240,0
бо00028192,1
бо00044927,1
бо00006501,0
бо00000419,0
бо00020479,1
бо00010395,0
бо00056752,0
бо00002848,1
бо00016161,0
бо00001656,1
бо00056624,0
бо00029068,1
бо00057029,1
бо00056548,0
бо00013755,1
бо00040775,0
бо00010645,1
бо00059157,1
бо00021093,1
бо00043286,0
бо00062103,0
бо00040504,1
бо00008621,0
бо00014163,0
бо00018274,0
бо00008005,1
бо00037253,1
бо00021816,0
бо00018548,0
бо00008695,0
бо00002242,1
бо00016123,0
бо00049840,0
бо00057022,1
бо00051188,0
бо00062395,0
бо00024008,1
бо00035378,1
бо00042146,0
бо00029809,0
бо00014318,1
бо00015757,0
бо00054399,0
бо00004991,1
бо00049656,0
бо00018726,0
бо00061924,0
бо00020849,0
бо00017615,0
бо00037932,1
бо00034114,0
бо00023076,0
бо00009271,0
бо00013082,1
бо00001750,1
бо00059391,1
бо00023323,0
бо00048592,1
бо00049717,1
бо00020638,0
бо00031920,0
бо00059188,0
бо00006259,0
бо00012291,0
бо00001693,0
бо00062016,0
бо00016199,1
бо00017852,0
бо00026391,0
бо00041964,0
бо00006185,1
бо00046873,0
бо00011098,0
бо00005734,1
бо00020670,1
бо00019813,0
бо00000859,1
бо00052713,1
бо00055764,1
бо00051774,0
бо00013557,1
бо00008293,0
бо00007867,1
бо00050163,1
бо00004751,0
бо00018496,1
бо00000712,1
бо00053663,0
бо00034748,1
бо00044140,1
бо00028377,0
бо00002467,1
бо00018361,0
бо00021080,0
бо00044533,1
бо00056159,0
бо00032134,0
бо00007368,1
бо00012198,0
бо00047594,0
бо00019025,0
бо00042752,0
бо00025658,0
бо00059960,0
бо00060049,1
бо00046571,1
бо00043343,1
бо00018240,0
бо00021452,1
бо00000622,0
бо00018796,1
бо00047036,1
бо00012776,1
бо00047567,1
бо00009427,1
бо00037575,1
бо00030003,0
бо00045336,0
бо00041993,0
бо00007927,1
бо00044360,1
бо00024052,0
бо00003733,0
бо00011954,0
бо00031950,1
бо00049729,1
бо00055662,0
бо00015744,1
бо00013904,0
бо00061853,0
бо00053350,0
бо00019695,1
бо00055627,0
бо00021211,0
бо00059611,1
бо00035700,0
бо00033358,1
бо00057519,1
бо00035477,1
бо00025295,0
бо00038039,1
бо00023849,1
бо00051712,0
бо00049530,0
бо00019226,0
бо00006991,0
бо00012983,0
бо00030587,0
бо00049459,0
бо00039228,0
бо00002367,0
бо00006060,0
бо00057949,1
бо00007860,0
бо00017815,0
бо00059955,0
бо00012145,1
бо00025332,0
бо00046347,0
бо00055175,1
бо00025523,0
бо00062359,1
бо00038432,0
бо00038733,0
бо00059913,0
бо00032556,1
бо00015133,0
бо00000550,0
бо00038340,0
бо00059803,1
бо00037919,0
бо00018787,1
бо00031906,1
бо00061097,1
бо00054426,1
бо00011271,0
бо00046273,1
бо00042847,1
бо00013316,0
бо00030886,0
бо00029666,1
бо00015583,0
бо00012088,1
бо00059541,0
бо00019839,0
бо00014286,0
бо00011414,1
бо00053452,0
бо00058240,0
бо00023194,1
бо00034129,1
бо00011188,1
бо00040347,0
бо00025719,0
бо00045496,0
бо00056186,0
бо00016531,1
бо00034751,0
бо00028939,1
бо00037159,1
бо00053739,0
бо00039142,1
бо00052788,0
бо00007684,0
бо00045092,1
бо00020577,0
бо00003278,0
бо00047478,1
бо00000173,1
бо00000079,0
бо00019947,1
бо00021172,1
бо00000805,0
бо00053999,0
бо00051410,1
бо00006390,1
бо00000814,1
бо00026664,0
бо00059310,1
бо00060892,0
бо00058237,0
бо00051513,0
бо00023364,0
бо00003965,1
бо00028278,0
бо00049633,0
бо00015743,0
бо00023561,0
бо00057471,0
бо00027344,1
