MEMBER_NO,L,R,F,M,C,D,runoff_flag
‘00000098,1229,99,2,0.785383428,0.79004632,低级别,0
‘00000099,1229,54,13,0.638023152,0.698346196,低级别,0
‘00000100,1231,23,64,0.594970809,0.686384706,中等级别,0
‘00000101,1231,6,11,0.489043634,0.521259184,低级别,0
‘00000102,1231,467,3,0.64893617,0.677446809,低级别,1
‘00000103,1231,522,3,0.567819754,0.577378243,低级别,1
‘00000104,1229,317,2,0.691408236,0.8,低级别,1
‘00000105,1229,193,2,0.598733448,0.564818653,低级别,1
‘00000106,1229,156,5,0.336267606,0.485436228,低级别,0
‘00000107,1223,304,4,0.386957416,0.603602139,低级别,1
‘00000108,1229,79,2,0.655794416,0.742905856,低级别,0
‘00000109,1231,550,2,0.51242236,0.551242236,低级别,1
‘00000110,1223,25,11,0.549287091,0.575136031,低级别,0
‘00000111,1219,2,10,0.764545808,0.721304911,低级别,0
‘00000112,1223,225,8,0.568964171,0.791664195,低级别,0
‘00000113,1198,66,6,0.694289104,0.803333333,低级别,0
‘00000114,1223,53,4,0.825245798,0.84596099,低级别,0
‘00000115,1986,27,78,0.731273606,0.824487527,中等级别,0
‘00000116,1198,18,3,0.533788641,0.557232207,低级别,0
‘00000117,1165,2,5,0.400303337,0.445551062,低级别,0
‘00000118,1223,290,2,0.774576775,0.873566974,低级别,1
‘00000119,1223,4,6,1.016777918,1.178769619,低级别,0
‘00000120,1219,614,3,0.924380704,0.872099087,低级别,1
‘00000121,1219,66,9,0.498890368,0.524485871,低级别,0
‘00000122,1219,2,3,1.342134831,1.006921348,低级别,0
‘00000123,1198,8,13,1.202459251,1.222514155,高级别,0
‘00000124,1198,180,3,0.730646022,0.8647811,低级别,1
‘00000126,1219,163,6,0.823240129,0.85617395,低级别,0
‘00000127,1219,559,3,0.723076923,0.7,低级别,1
‘00000128,1219,50,2,0.60688493,0.72,低级别,1
‘00000129,1219,715,2,0.240163934,0.275,低级别,1
‘00000130,1603,67,12,0.488295849,0.520182283,低级别,0
‘00000131,1596,69,2,0.522877478,0.605,低级别,1
‘00000132,1332,347,2,0.660595021,0.663934426,低级别,1
‘00000133,1254,146,4,0.627952756,0.689282391,低级别,1
‘00000134,841,403,2,0.818345324,0.875,低级别,1
‘00000135,1212,159,11,0.351307531,0.419340481,低级别,0
‘00000136,1219,116,2,0.644261256,0.68686747,低级别,0
‘00000137,1212,368,5,1,1,低级别,1
‘00000139,1212,49,2,0.931844215,0.875,低级别,1
‘00000140,1205,164,3,0.869472563,0.774203516,低级别,0
‘00000141,1319,93,9,0.661321115,0.733178217,低级别,0
‘00000142,1198,5,24,0.60157105,0.703508738,低级别,0
‘00000143,1205,12,3,0.54953309,0.60316078,低级别,0
‘00000144,1212,244,2,0.541607498,0.565907413,低级别,1
‘00000145,1260,1,96,0.739969715,0.696412242,高级别,0
‘00000146,1198,589,5,0.726811691,0.81516749,低级别,1
‘00000147,1205,70,2,0.634251497,0.724270659,低级别,0
‘00000148,1205,184,5,0.542057561,0.578678645,低级别,0
‘00000149,1205,18,13,0.626223925,0.637958402,低级别,0
‘00000150,1198,144,5,0.532868757,0.677541231,低级别,0
‘00000151,1198,579,7,0.809848318,0.720488019,低级别,1
‘00000152,1198,178,2,0.576328367,0.55,低级别,1
‘00000153,1189,472,2,0.522727273,0.627160691,低级别,1
‘00000154,1189,26,2,0.620947631,0.63,低级别,1
‘00000155,1189,23,3,0.575243965,0.533333333,低级别,0
‘00000156,1174,89,27,0.545700617,0.816711529,高级别,1
‘00000157,1183,238,9,0.56072152,0.734309829,低级别,1
‘00000158,1183,393,2,0.402082634,0.45,低级别,1
‘00000159,1183,49,3,0.764740336,0.854638813,低级别,0
‘00000160,1183,47,9,0.600127348,0.50629099,低级别,0
‘00000161,1183,72,4,0.635902471,0.730132548,低级别,0
‘00000162,1183,2,11,0.487204332,0.718963807,低级别,0
‘00000163,1183,493,2,0.651142734,0.660715826,低级别,1
‘00000164,923,43,5,0.620081172,0.577081348,低级别,0
‘00000166,1174,6,13,0.373131047,0.42932113,低级别,0
‘00000167,1174,17,10,0.635342599,0.627426471,低级别,0
‘00000168,1174,209,2,0.567691302,0.528613473,低级别,1
‘00000170,1174,15,15,0.66867351,0.69725079,低级别,0
‘00000171,1174,174,2,0.902880658,0.825711934,低级别,0
‘00000172,1173,15,3,0.783091787,0.783333333,低级别,0
‘00000173,1174,677,2,0.289159591,0.55,低级别,1
‘00000174,1174,4,4,0.287326062,0.334449041,低级别,0
‘00000175,1173,76,5,0.515604959,0.703964657,低级别,0
‘00000176,1173,504,4,1.223862239,1.37097171,低级别,1
‘00000177,1163,22,9,0.760294258,0.877183529,低级别,0
‘00000178,1173,34,3,0.801158301,0.931988417,低级别,0
‘00000179,2546,67,8,0.80184387,0.778967912,低级别,0
‘00000180,1174,304,16,0.625261476,0.703977865,低级别,1
‘00000181,1174,71,9,0.530831262,0.660147335,低级别,0
‘00000182,1174,1,11,0.589112379,0.54395777,低级别,0
‘00000183,1174,8,25,0.522375677,0.643937338,低级别,0
‘00000184,920,314,3,0.278246206,0.278878583,低级别,1
‘00000185,2550,156,5,0.366437462,0.41787797,低级别,0
‘00000186,1183,149,8,0.442868247,0.478131558,低级别,0
‘00000187,914,143,5,0.698447894,0.703433396,低级别,0
‘00000188,920,101,9,0.694763337,0.797957517,低级别,1
‘00000189,914,165,9,0.621129455,0.674756607,低级别,0
‘00000190,1173,132,15,0.600910919,0.644940258,低级别,0
‘00000191,1173,48,6,0.719376791,0.814255014,低级别,0
‘00000192,1173,7,21,0.649580725,0.729940947,低级别,0
‘00000193,1173,56,38,0.691750028,0.723380353,中等级别,0
‘00000194,1174,8,35,0.712200714,0.773751488,低级别,0
‘00000195,1173,45,3,0.4,0.643491741,低级别,0
‘00000196,1173,70,12,0.653582471,0.65776314,低级别,0
‘00000197,1173,180,2,0.140543365,0.14,低级别,1
‘00000198,1173,163,4,0.584794207,0.602721037,低级别,0
‘00000199,1173,47,2,0.839343207,0.875,低级别,1
‘00000200,1173,185,3,0.358378225,0.374584633,低级别,0
‘00000201,1174,186,5,0.682242991,0.740063551,低级别,0
‘00000202,1174,2,16,0.602445168,0.551196166,低级别,0
‘00000203,1174,64,11,0.347231366,0.452762051,低级别,0
‘00000204,1174,32,14,0.708263069,0.778005519,低级别,0
‘00000205,1174,443,3,0.445924516,0.789597209,低级别,1
‘00000206,1174,681,2,0.453736655,0.525,低级别,1
‘00000207,1173,114,2,0.631268437,0.589519595,低级别,0
‘00000208,1174,37,21,0.752932735,0.869544395,低级别,0
‘00000209,1174,545,2,0.537621359,0.546177184,低级别,1
‘00000210,1174,230,7,0.457644248,0.509904447,低级别,0
‘00000211,1174,455,5,0.578377351,0.57799734,低级别,1
‘00000212,1174,158,7,0.489985024,0.535810558,低级别,0
‘00000213,1173,204,5,0.619770115,0.647771648,低级别,1
‘00000214,1173,340,5,0.575667065,0.463908801,低级别,1
‘00000216,1174,357,4,0.951505289,0.985793328,低级别,1
‘00000217,1173,174,9,0.598943619,0.639275273,低级别,1
‘00000218,1173,275,11,0.534960376,0.542567501,低级别,1
‘00000219,1173,3,4,0.553654743,0.565,低级别,0
‘00000220,1173,55,4,0.718007393,0.74923429,低级别,0
‘00000221,1163,11,11,1.291678681,1.414132403,中等级别,0
‘00000222,1163,213,5,0.298492792,0.694954128,低级别,0
‘00000224,1155,215,5,0.643075356,0.788455193,低级别,1
‘00000225,1155,120,2,0.508847818,0.510987023,低级别,1
‘00000226,1155,530,2,0.44177802,0.5,低级别,1
‘00000227,1152,74,10,0.367654382,0.502981823,低级别,0
‘00000229,1155,12,46,0.770643034,0.81813663,中等级别,0
‘00000230,1155,100,5,0.648448756,0.817073288,低级别,0
‘00000231,1155,28,2,0.824574961,0.92,低级别,1
‘00000232,1148,69,3,0.746660305,0.677070611,中等级别,1
‘00000233,1128,644,2,0.519893899,0.537002653,低级别,1
‘00000234,1128,632,2,1,1,低级别,1
‘00000235,1128,89,5,0.610227706,0.655079506,低级别,0
‘00000236,1135,80,5,0.519677683,0.591968936,高级别,0
‘00000237,1121,142,3,0.54180602,0.573333333,低级别,1
‘00000238,1099,155,4,0.357253485,0.360955085,低级别,1
‘00000239,1096,238,7,0.428996334,0.490845957,低级别,0
‘00000240,1070,283,8,0.625639644,0.796935632,低级别,1
‘00000241,1086,87,2,0.678001569,0.772490191,低级别,0
‘00000242,1058,11,39,0.55231799,0.589922155,中等级别,0
‘00000243,1114,530,2,0.472065829,0.514811607,低级别,1
‘00000244,1070,158,2,0.80335097,0.69,低级别,0
‘00000245,1058,434,5,0.430138391,0.483521271,低级别,1
‘00000246,1058,2,23,0.78971368,0.772457052,低级别,0
‘00000247,2455,271,8,0.632780701,0.653866773,低级别,0
‘00000248,1047,1,2,0.843320018,0.880288504,低级别,0
‘00000249,1043,297,7,1.015029326,0.8221261,低级别,1
‘00000250,1058,59,2,0.490514229,0.575751373,低级别,0
‘00000251,1058,185,2,0.591936198,0.679251218,低级别,1
‘00000252,1047,82,7,0.680974225,0.695714286,低级别,0
‘00000253,1013,506,6,0.700240577,0.757914996,低级别,1
‘00000254,1058,234,2,0.609303508,0.705,低级别,1
‘00000256,1034,395,5,1.337368421,0.77,低级别,1
‘00000257,1022,83,2,0.809559654,0.9,低级别,0
‘00000258,1022,33,9,0.61530496,0.686169618,低级别,0
‘00000259,1022,20,17,0.596821636,0.694494648,低级别,0
‘00000260,997,125,2,0.35911494,0.48,低级别,1
‘00000261,997,10,15,0.525244177,0.593241172,低级别,0
‘00000262,997,164,2,0.712106768,0.77,低级别,1
‘00000263,997,32,7,0.584012761,0.779039348,低级别,0
‘00000264,997,43,14,0.567284914,0.683979893,低级别,0
‘00000265,997,42,10,0.769438702,0.818720782,低级别,0
‘00000266,975,49,2,0.410080183,0.385,低级别,1
‘00000267,994,8,4,0.497434923,0.507704731,低级别,0
‘00000268,975,42,13,0.455376407,0.554793849,低级别,0
‘00000269,975,9,2,0.543195719,0.555,低级别,1
‘00000270,994,563,3,0.303329223,0.652856556,低级别,1
‘00000271,975,100,10,0.6237903,0.709443676,低级别,0
‘00000272,975,10,45,0.580324777,0.651134638,中等级别,0
‘00000273,975,97,7,0.536189386,0.648960807,低级别,0
‘00000274,975,338,4,0.505,0.552215517,低级别,1
‘00000275,975,445,3,0.446585273,0.493618848,低级别,1
‘00000276,974,1,34,0.668187396,0.64671082,中等级别,0
‘00000277,974,46,3,0.826548673,0.769964602,低级别,0
‘00000278,975,21,32,0.614037676,0.697205007,低级别,0
‘00000279,975,19,23,0.603885775,0.650820709,低级别,0
‘00000280,974,320,3,0.641987627,0.748433446,低级别,1
‘00000281,996,75,7,0.74477298,0.766467896,低级别,0
‘00000282,964,271,2,0.651426907,0.625,低级别,1
‘00000283,964,268,2,0.462555066,0.465706848,低级别,1
‘00000284,960,12,12,0.587950029,0.643622371,低级别,0
‘00000285,960,33,7,0.675597692,0.729543831,低级别,0
‘00000286,960,13,26,0.750984858,0.785209898,中等级别,0
‘00000288,946,13,56,0.638557732,0.684551314,中等级别,0
‘00000289,937,219,2,0.900050226,0.910145655,低级别,1
‘00000290,930,32,37,0.675532884,0.73489397,低级别,0
‘00000291,936,90,2,0.840155106,0.778186127,低级别,1
‘00000292,930,619,2,0.820781254,0.9,低级别,1
‘00000293,936,129,2,0.536645352,0.532233153,低级别,0
‘00000294,930,40,3,0.743710692,0.858164308,低级别,1
‘00000295,937,1,29,0.629898263,0.700734594,低级别,0
‘00000296,914,575,2,0.742471443,0.815784008,低级别,1
‘00000297,914,15,3,0.361144506,0.400942534,低级别,1
‘00000298,1076,83,15,0.452308495,0.469070081,低级别,0
‘00000299,914,232,7,0.700070274,0.709551651,低级别,0
‘00000300,898,66,6,0.653917128,0.621160879,低级别,0
‘00000301,898,37,3,0.581935265,0.673333333,低级别,0
‘00000302,898,179,4,0.850414469,0.667765637,低级别,1
‘00000303,898,21,15,0.24685542,0.643056014,低级别,0
‘00000304,898,339,2,1.226252159,1,低级别,1
‘00000305,890,98,29,0.596414,0.604486526,低级别,1
‘00000306,876,16,7,0.677577505,0.674671954,低级别,0
‘00000307,890,113,11,0.534511785,0.538892715,低级别,0
‘00000308,876,152,4,0.606429463,0.615,低级别,1
‘00000310,875,2,78,0.68429295,0.734954258,高级别,0
‘00000311,862,49,56,0.634167591,0.655425946,低级别,0
‘00000312,853,225,2,0.709953344,0.835,低级别,1
‘00000313,853,146,2,1.445954293,1.41,低级别,1
‘00000314,853,259,2,0.873651772,0.81,低级别,1
‘00000316,848,48,5,0.547175481,0.461929087,低级别,0
‘00000317,841,17,12,0.666595449,0.728585621,低级别,0
‘00000318,831,475,7,0.845784185,0.864285714,低级别,1
‘00000319,831,26,2,0.459581806,0.531763311,低级别,0
‘00000320,827,629,2,0.442181818,0.45,低级别,1
‘00000321,813,514,2,1.042314335,0.85,低级别,1
‘00000322,821,135,3,0.526107818,0.569647192,低级别,0
‘00000323,797,470,4,0.489405204,0.607416357,低级别,1
‘00000324,806,345,4,0.659082362,0.678582174,低级别,1
‘00000325,806,310,6,0.606369947,0.662168232,低级别,1
‘00000326,806,572,3,0.68559719,0.766881343,低级别,1
‘00000327,813,135,2,0.52530322,0.562045169,低级别,0
‘00000328,806,24,19,0.521089034,0.600795986,低级别,0
‘00000329,797,98,4,0.915047196,0.917856746,低级别,1
‘00000330,1913,240,4,0.694369456,0.717510605,低级别,0
‘00000331,797,49,8,0.667745166,0.739292042,低级别,0
‘00000332,797,192,4,1.100236546,1.142732111,低级别,1
‘00000333,797,363,6,0.629742962,0.606007752,低级别,1
‘00000334,778,18,15,0.33808554,0.437536185,低级别,0
‘00000336,778,6,6,0.631143937,0.740952255,低级别,0
‘00000337,748,522,8,0.638750541,0.759752599,低级别,1
‘00000338,748,131,6,0.452607291,0.510586064,低级别,0
‘00000339,748,78,3,0.410526316,0.591789474,低级别,0
‘00000340,778,351,4,0.52023444,0.601737371,低级别,1
‘00000341,764,497,2,0.51765928,0.571918283,低级别,1
‘00000342,762,592,2,0.715062112,0.72503882,低级别,1
‘00000343,798,419,3,0.371000405,0.431969758,低级别,1
‘00000344,764,194,3,0.548729912,0.56,低级别,0
‘00000345,764,286,2,0.774849398,0.820139307,低级别,1
‘00000346,762,243,5,0.525889398,0.579120582,低级别,1
‘00000347,762,75,4,1.158931083,1.094015471,低级别,0
‘00000348,762,573,5,0.493095271,0.752615428,低级别,1
‘00000349,757,130,8,0.819367089,0.805473418,低级别,0
‘00000350,739,617,2,0.484972678,0.5,低级别,1
‘00000351,757,75,25,0.539516382,0.625511148,低级别,0
‘00000352,757,473,2,0.701847634,0.783105543,低级别,1
‘00000353,757,276,2,0.772884283,0.63,低级别,1
‘00000354,734,483,5,0.549677419,0.583077419,低级别,1
‘00000356,734,253,2,0.786386276,0.790641948,低级别,1
‘00000357,734,19,14,0.676224673,0.760476019,低级别,0
‘00000358,728,705,2,0.400728597,0.4,低级别,1
‘00000360,728,111,4,0.514886412,0.577963878,低级别,1
‘00000361,720,85,8,0.633765244,0.709375762,低级别,0
‘00000362,715,558,2,0.492122335,0.45,低级别,1
‘00000363,715,44,27,0.981885353,0.828807651,低级别,0
‘00000364,715,76,15,0.632746479,0.707698944,低级别,0
‘00000365,720,646,4,0.376879385,0.50387571,低级别,1
‘00000366,708,47,19,0.549313036,0.631695478,低级别,0
‘00000367,708,32,4,0.233327301,0.455346123,低级别,0
‘00000368,863,493,5,0.858378596,0.925769463,低级别,1
‘00000369,708,338,2,0.733730159,0.72297619,低级别,1
‘00000370,708,200,4,0.614002146,0.592813841,低级别,0
‘00000371,702,9,14,0.699130435,0.714655259,低级别,0
‘00000372,694,16,5,0.326207112,0.636525185,低级别,0
‘00000373,687,44,4,0.855288462,0.862829327,低级别,0
‘00000374,768,27,23,0.822902379,0.843578791,低级别,0
‘00000375,680,112,3,0.451175598,0.49421309,低级别,0
‘00000376,673,213,4,0.75768406,0.828395282,低级别,1
‘00000377,680,18,48,0.725882541,0.767032026,中等级别,0
‘00000378,673,239,5,0.45044028,0.592917137,低级别,1
‘00000379,673,170,21,0.64087401,0.66829441,低级别,1
‘00000380,667,86,6,0.731803797,0.713314873,低级别,0
‘00000381,667,15,9,0.75437514,0.839334193,低级别,0
‘00000382,673,226,2,0.563229118,0.85734951,低级别,1
‘00000383,658,123,9,0.540240107,0.550365718,低级别,1
‘00000384,658,84,5,0.619047619,0.587413068,低级别,0
‘00000385,652,171,4,0.575392039,0.724993969,低级别,1
‘00000386,652,329,3,0.369445401,0.39763176,低级别,1
‘00000387,652,229,5,0.951302378,0.821084371,低级别,0
‘00000388,645,338,6,0.549351772,0.519187554,低级别,1
‘00000389,652,114,5,0.857091946,0.380491803,低级别,0
‘00000390,645,4,2,0.886142983,0.93,低级别,0
‘00000391,640,96,5,0.444115226,0.445688889,低级别,0
‘00000392,640,51,3,0.235720514,0.683333333,低级别,0
‘00000393,640,56,3,0.73973293,0.770463593,低级别,0
‘00000394,631,30,36,0.682050824,0.736979863,低级别,0
‘00000395,631,61,5,0.541822363,0.636315033,低级别,0
‘00000396,631,190,4,0.402291918,0.503383595,低级别,0
‘00000397,631,7,45,0.625844151,0.634457722,中等级别,0
‘00000398,631,49,5,0.582022973,0.619066577,低级别,0
‘00000399,620,102,6,0.51871345,0.507733333,低级别,0
‘00000400,620,4,29,0.630247888,0.661600622,低级别,0
‘00000401,620,121,6,0.49329887,0.536261727,低级别,1
‘00000402,620,104,4,0.521076402,0.605231464,低级别,0
‘00000403,616,47,2,0.699077491,0.82,低级别,1
‘00000404,620,146,7,0.690075213,0.7623414,低级别,1
‘00000405,616,29,5,0.666863905,0.764899408,低级别,0
‘00000406,610,424,2,0.351109215,0.37318686,低级别,1
‘00000407,610,107,2,0.568040435,0.58,低级别,1
‘00000408,610,165,2,0.52719878,0.61,低级别,0
‘00000409,610,45,17,0.674808952,0.704924945,低级别,0
‘00000410,609,26,9,0.516265315,0.761111111,低级别,0
‘00000412,596,252,2,0.523770492,0.574644809,低级别,1
‘00000413,603,108,2,0.504065041,0.476829268,低级别,1
‘00000414,596,9,4,0.681945505,0.653399542,低级别,0
‘00000415,596,72,2,0.606651376,0.62,低级别,1
‘00000416,587,393,2,0.379562044,0.4,低级别,1
‘00000417,587,184,3,0.634694276,0.712361789,低级别,1
‘00000418,587,258,4,0.547399908,0.56169121,低级别,1
‘00000419,587,17,16,0.531017115,0.555306573,低级别,0
‘00000420,576,340,2,0.335253456,0.560426267,低级别,1
‘00000421,576,7,8,0.554471271,0.644403971,低级别,0
‘00000422,575,127,4,1.058449074,0.923978588,低级别,1
‘00000423,568,300,2,0.301800514,0.33,低级别,1
‘00000424,568,26,16,0.650018596,0.760932469,低级别,0
‘00000425,568,61,9,0.567927648,0.617590197,低级别,0
‘00000427,568,332,2,1.087811271,1,低级别,1
‘00000428,560,182,2,0.973309955,0.95,低级别,1
‘00000429,560,28,5,0.479918475,0.492767054,低级别,0
‘00000430,553,12,3,0.515470852,0.618923767,低级别,0
‘00000431,553,77,11,0.926153846,0.813446154,低级别,0
‘00000432,553,413,4,0.928571429,0.85639881,低级别,1
‘00000433,547,195,4,0.594013282,0.710726534,低级别,1
‘00000434,553,442,2,0.669432918,0.8,低级别,1
‘00000435,547,167,2,0.400613497,0.758803681,低级别,1
‘00000436,547,403,2,0.312191916,0.344150509,低级别,1
‘00000437,526,1,31,1.451867572,0.836129032,低级别,0
‘00000438,533,310,4,0.568124322,0.615739068,低级别,1
‘00000439,533,180,3,0.232756252,0.452107722,低级别,1
‘00000440,533,177,2,0.435397554,0.445,低级别,1
‘00000441,533,356,2,0.923656927,1,低级别,1
‘00000442,672,205,4,0.402634903,0.597989533,低级别,0
‘00000443,526,30,9,0.36791764,0.44906031,低级别,0
‘00000444,526,282,3,0.859471474,0.880316127,低级别,1
‘00000445,526,434,2,0.935897436,1,低级别,1
‘00000446,519,35,4,0.600290698,0.59,低级别,0
‘00000447,519,234,4,0.57472055,0.653824592,低级别,0
‘00000448,519,241,6,0.398467433,0.458735632,低级别,1
‘00000449,552,80,6,0.712041094,0.716129325,低级别,0
‘00000450,516,359,3,0.508151008,0.567942943,低级别,1
‘00000451,516,174,2,0.421124207,0.43768359,低级别,1
‘00000452,516,271,3,0.308836076,0.373390615,低级别,1
‘00000453,512,16,5,0.640661459,0.773812519,低级别,0
‘00000454,498,27,2,0.524651661,0.51,低级别,1
‘00000455,505,235,4,0.587683524,0.656721044,低级别,1
‘00000456,505,200,2,0.374295378,0.415,低级别,0
‘00000457,498,179,5,0.818700615,0.807100527,低级别,1
‘00000458,498,93,9,0.503240407,0.493896718,低级别,1
‘00000459,498,158,5,0.603253686,0.698,低级别,1
‘00000460,498,339,2,0.476956266,0.608266327,低级别,1
‘00000461,498,15,3,0.718012422,0.746507246,低级别,1
‘00000462,491,161,6,0.609907579,0.706891682,低级别,1
‘00000463,483,27,28,0.972499889,0.74050291,中等级别,0
‘00000464,491,8,10,0.598486137,0.602644157,低级别,0
‘00000465,491,55,2,0.782844734,0.821267644,低级别,0
‘00000466,483,379,2,0.567877629,0.6,低级别,1
‘00000467,482,121,3,0.510033777,0.582308762,低级别,0
‘00000468,477,48,2,1.010761589,0.885,低级别,1
‘00000470,477,10,4,0.432130807,0.625350809,低级别,0
‘00000471,470,43,7,0.430710391,0.465509806,低级别,0
‘00000472,470,99,3,0.715137377,0.73,低级别,0
‘00000473,463,221,5,0.573155053,0.632945487,低级别,1
‘00000474,463,53,3,0.800486618,0.626666667,低级别,0
‘00000475,2627,29,7,0.450964512,0.485021352,低级别,0
‘00000476,462,259,6,0.637262658,0.640561709,低级别,1
‘00000478,462,183,3,0.4125,0.463827206,低级别,0
‘00000479,462,125,3,0.387203791,0.429265403,低级别,0
‘00000480,462,86,13,0.654909875,0.707472366,高级别,0
‘00000483,442,318,4,0.353319058,0.469771592,低级别,1
‘00000484,442,21,6,0.619037317,0.681208221,低级别,0
‘00000485,433,156,2,0.677731674,0.695,低级别,1
‘00000486,433,59,5,0.573011915,0.676227025,低级别,0
‘00000487,426,22,8,0.530026594,0.665441277,低级别,0
‘00000488,433,310,3,0.767019667,0.586762481,低级别,1
