MEMBER_NO,L,R,F,M,C,D
‘00000092,1223,17,2,1.132216015,0.77,低级别
‘00000094,1223,15,7,0.71631511,0.710390659,低级别
‘00000095,1231,83,6,0.611077736,0.727455245,低级别
‘00000096,1223,268,4,0.30399774,0.346687385,低级别
‘00000097,1229,27,7,0.570710802,0.664544111,低级别
‘00000098,1229,99,2,0.785383428,0.79004632,低级别
‘00000099,1229,54,13,0.638023152,0.698346196,低级别
‘00000100,1231,23,64,0.594970809,0.686384706,中等级别
‘00000101,1231,6,11,0.489043634,0.521259184,低级别
‘00000106,1229,156,5,0.336267606,0.485436228,低级别
‘00000108,1229,79,2,0.655794416,0.742905856,低级别
‘00000110,1223,25,11,0.549287091,0.575136031,低级别
‘00000111,1219,2,10,0.764545808,0.721304911,低级别
‘00000112,1223,225,8,0.568964171,0.791664195,低级别
‘00000113,1198,66,6,0.694289104,0.803333333,低级别
‘00000114,1223,53,4,0.825245798,0.84596099,低级别
‘00000115,1986,27,78,0.731273606,0.824487527,中等级别
‘00000116,1198,18,3,0.533788641,0.557232207,低级别
‘00000117,1165,2,5,0.400303337,0.445551062,低级别
‘00000119,1223,4,6,1.016777918,1.178769619,低级别
‘00000121,1219,66,9,0.498890368,0.524485871,低级别
‘00000122,1219,2,3,1.342134831,1.006921348,低级别
‘00000123,1198,8,13,1.202459251,1.222514155,高级别
‘00000126,1219,163,6,0.823240129,0.85617395,低级别
‘00000130,1603,67,12,0.488295849,0.520182283,低级别
‘00000135,1212,159,11,0.351307531,0.419340481,低级别
‘00000136,1219,116,2,0.644261256,0.68686747,低级别
‘00000140,1205,164,3,0.869472563,0.774203516,低级别
‘00000141,1319,93,9,0.661321115,0.733178217,低级别
‘00000142,1198,5,24,0.60157105,0.703508738,低级别
‘00000143,1205,12,3,0.54953309,0.60316078,低级别
‘00000145,1260,1,96,0.739969715,0.696412242,高级别
‘00000147,1205,70,2,0.634251497,0.724270659,低级别
‘00000148,1205,184,5,0.542057561,0.578678645,低级别
‘00000149,1205,18,13,0.626223925,0.637958402,低级别
‘00000150,1198,144,5,0.532868757,0.677541231,低级别
‘00000155,1189,23,3,0.575243965,0.533333333,低级别
‘00000159,1183,49,3,0.764740336,0.854638813,低级别
‘00000160,1183,47,9,0.600127348,0.50629099,低级别
‘00000161,1183,72,4,0.635902471,0.730132548,低级别
‘00000162,1183,2,11,0.487204332,0.718963807,低级别
‘00000164,923,43,5,0.620081172,0.577081348,低级别
‘00000166,1174,6,13,0.373131047,0.42932113,低级别
‘00000167,1174,17,10,0.635342599,0.627426471,低级别
‘00000170,1174,15,15,0.66867351,0.69725079,低级别
‘00000171,1174,174,2,0.902880658,0.825711934,低级别
‘00000172,1173,15,3,0.783091787,0.783333333,低级别
‘00000174,1174,4,4,0.287326062,0.334449041,低级别
‘00000175,1173,76,5,0.515604959,0.703964657,低级别
‘00000177,1163,22,9,0.760294258,0.877183529,低级别
‘00000178,1173,34,3,0.801158301,0.931988417,低级别
‘00000179,2546,67,8,0.80184387,0.778967912,低级别
‘00000181,1174,71,9,0.530831262,0.660147335,低级别
‘00000182,1174,1,11,0.589112379,0.54395777,低级别
‘00000183,1174,8,25,0.522375677,0.643937338,低级别
‘00000185,2550,156,5,0.366437462,0.41787797,低级别
‘00000186,1183,149,8,0.442868247,0.478131558,低级别
‘00000187,914,143,5,0.698447894,0.703433396,低级别
‘00000189,914,165,9,0.621129455,0.674756607,低级别
‘00000190,1173,132,15,0.600910919,0.644940258,低级别
‘00000191,1173,48,6,0.719376791,0.814255014,低级别
‘00000192,1173,7,21,0.649580725,0.729940947,低级别
‘00000193,1173,56,38,0.691750028,0.723380353,中等级别
‘00000194,1174,8,35,0.712200714,0.773751488,低级别
‘00000195,1173,45,3,0.4,0.643491741,低级别
‘00000196,1173,70,12,0.653582471,0.65776314,低级别
‘00000198,1173,163,4,0.584794207,0.602721037,低级别
‘00000200,1173,185,3,0.358378225,0.374584633,低级别
‘00000201,1174,186,5,0.682242991,0.740063551,低级别
‘00000202,1174,2,16,0.602445168,0.551196166,低级别
‘00000203,1174,64,11,0.347231366,0.452762051,低级别
‘00000204,1174,32,14,0.708263069,0.778005519,低级别
‘00000207,1173,114,2,0.631268437,0.589519595,低级别
‘00000208,1174,37,21,0.752932735,0.869544395,低级别
‘00000210,1174,230,7,0.457644248,0.509904447,低级别
‘00000212,1174,158,7,0.489985024,0.535810558,低级别
‘00000219,1173,3,4,0.553654743,0.565,低级别
‘00000220,1173,55,4,0.718007393,0.74923429,低级别
‘00000221,1163,11,11,1.291678681,1.414132403,中等级别
‘00000222,1163,213,5,0.298492792,0.694954128,低级别
‘00000227,1152,74,10,0.367654382,0.502981823,低级别
‘00000229,1155,12,46,0.770643034,0.81813663,中等级别
‘00000230,1155,100,5,0.648448756,0.817073288,低级别
‘00000235,1128,89,5,0.610227706,0.655079506,低级别
‘00000236,1135,80,5,0.519677683,0.591968936,高级别
‘00000239,1096,238,7,0.428996334,0.490845957,低级别
‘00000241,1086,87,2,0.678001569,0.772490191,低级别
‘00000242,1058,11,39,0.55231799,0.589922155,中等级别
‘00000244,1070,158,2,0.80335097,0.69,低级别
‘00000246,1058,2,23,0.78971368,0.772457052,低级别
‘00000247,2455,271,8,0.632780701,0.653866773,低级别
‘00000248,1047,1,2,0.843320018,0.880288504,低级别
‘00000250,1058,59,2,0.490514229,0.575751373,低级别
‘00000252,1047,82,7,0.680974225,0.695714286,低级别
‘00000257,1022,83,2,0.809559654,0.9,低级别
‘00000258,1022,33,9,0.61530496,0.686169618,低级别
‘00000259,1022,20,17,0.596821636,0.694494648,低级别
‘00000261,997,10,15,0.525244177,0.593241172,低级别
‘00000263,997,32,7,0.584012761,0.779039348,低级别
‘00000264,997,43,14,0.567284914,0.683979893,低级别
‘00000265,997,42,10,0.769438702,0.818720782,低级别
‘00000267,994,8,4,0.497434923,0.507704731,低级别
‘00000268,975,42,13,0.455376407,0.554793849,低级别
‘00000271,975,100,10,0.6237903,0.709443676,低级别
‘00000272,975,10,45,0.580324777,0.651134638,中等级别
‘00000273,975,97,7,0.536189386,0.648960807,低级别
‘00000276,974,1,34,0.668187396,0.64671082,中等级别
‘00000277,974,46,3,0.826548673,0.769964602,低级别
‘00000278,975,21,32,0.614037676,0.697205007,低级别
‘00000279,975,19,23,0.603885775,0.650820709,低级别
‘00000281,996,75,7,0.74477298,0.766467896,低级别
‘00000284,960,12,12,0.587950029,0.643622371,低级别
‘00000285,960,33,7,0.675597692,0.729543831,低级别
‘00000286,960,13,26,0.750984858,0.785209898,中等级别
‘00000288,946,13,56,0.638557732,0.684551314,中等级别
‘00000290,930,32,37,0.675532884,0.73489397,低级别
‘00000293,936,129,2,0.536645352,0.532233153,低级别
‘00000295,937,1,29,0.629898263,0.700734594,低级别
‘00000298,1076,83,15,0.452308495,0.469070081,低级别
‘00000299,914,232,7,0.700070274,0.709551651,低级别
‘00000300,898,66,6,0.653917128,0.621160879,低级别
‘00000301,898,37,3,0.581935265,0.673333333,低级别
‘00000303,898,21,15,0.24685542,0.643056014,低级别
‘00000306,876,16,7,0.677577505,0.674671954,低级别
‘00000307,890,113,11,0.534511785,0.538892715,低级别
‘00000310,875,2,78,0.68429295,0.734954258,高级别
‘00000311,862,49,56,0.634167591,0.655425946,低级别
‘00000316,848,48,5,0.547175481,0.461929087,低级别
‘00000317,841,17,12,0.666595449,0.728585621,低级别
‘00000319,831,26,2,0.459581806,0.531763311,低级别
‘00000322,821,135,3,0.526107818,0.569647192,低级别
‘00000327,813,135,2,0.52530322,0.562045169,低级别
‘00000328,806,24,19,0.521089034,0.600795986,低级别
‘00000330,1913,240,4,0.694369456,0.717510605,低级别
‘00000331,797,49,8,0.667745166,0.739292042,低级别
‘00000334,778,18,15,0.33808554,0.437536185,低级别
‘00000336,778,6,6,0.631143937,0.740952255,低级别
‘00000338,748,131,6,0.452607291,0.510586064,低级别
‘00000339,748,78,3,0.410526316,0.591789474,低级别
‘00000344,764,194,3,0.548729912,0.56,低级别
‘00000347,762,75,4,1.158931083,1.094015471,低级别
‘00000349,757,130,8,0.819367089,0.805473418,低级别
‘00000351,757,75,25,0.539516382,0.625511148,低级别
‘00000357,734,19,14,0.676224673,0.760476019,低级别
‘00000361,720,85,8,0.633765244,0.709375762,低级别
‘00000363,715,44,27,0.981885353,0.828807651,低级别
‘00000364,715,76,15,0.632746479,0.707698944,低级别
‘00000366,708,47,19,0.549313036,0.631695478,低级别
‘00000367,708,32,4,0.233327301,0.455346123,低级别
‘00000370,708,200,4,0.614002146,0.592813841,低级别
‘00000371,702,9,14,0.699130435,0.714655259,低级别
‘00000372,694,16,5,0.326207112,0.636525185,低级别
‘00000373,687,44,4,0.855288462,0.862829327,低级别
‘00000374,768,27,23,0.822902379,0.843578791,低级别
‘00000375,680,112,3,0.451175598,0.49421309,低级别
‘00000377,680,18,48,0.725882541,0.767032026,中等级别
‘00000380,667,86,6,0.731803797,0.713314873,低级别
‘00000381,667,15,9,0.75437514,0.839334193,低级别
‘00000384,658,84,5,0.619047619,0.587413068,低级别
‘00000387,652,229,5,0.951302378,0.821084371,低级别
‘00000389,652,114,5,0.857091946,0.380491803,低级别
‘00000390,645,4,2,0.886142983,0.93,低级别
‘00000391,640,96,5,0.444115226,0.445688889,低级别
‘00000392,640,51,3,0.235720514,0.683333333,低级别
‘00000393,640,56,3,0.73973293,0.770463593,低级别
‘00000394,631,30,36,0.682050824,0.736979863,低级别
‘00000395,631,61,5,0.541822363,0.636315033,低级别
‘00000396,631,190,4,0.402291918,0.503383595,低级别
‘00000397,631,7,45,0.625844151,0.634457722,中等级别
‘00000398,631,49,5,0.582022973,0.619066577,低级别
‘00000399,620,102,6,0.51871345,0.507733333,低级别
‘00000400,620,4,29,0.630247888,0.661600622,低级别
‘00000402,620,104,4,0.521076402,0.605231464,低级别
‘00000405,616,29,5,0.666863905,0.764899408,低级别
‘00000408,610,165,2,0.52719878,0.61,低级别
‘00000409,610,45,17,0.674808952,0.704924945,低级别
‘00000410,609,26,9,0.516265315,0.761111111,低级别
‘00000414,596,9,4,0.681945505,0.653399542,低级别
‘00000419,587,17,16,0.531017115,0.555306573,低级别
‘00000421,576,7,8,0.554471271,0.644403971,低级别
‘00000424,568,26,16,0.650018596,0.760932469,低级别
‘00000425,568,61,9,0.567927648,0.617590197,低级别
‘00000429,560,28,5,0.479918475,0.492767054,低级别
‘00000430,553,12,3,0.515470852,0.618923767,低级别
‘00000431,553,77,11,0.926153846,0.813446154,低级别
‘00000437,526,1,31,1.451867572,0.836129032,低级别
‘00000442,672,205,4,0.402634903,0.597989533,低级别
‘00000443,526,30,9,0.36791764,0.44906031,低级别
‘00000446,519,35,4,0.600290698,0.59,低级别
‘00000447,519,234,4,0.57472055,0.653824592,低级别
‘00000449,552,80,6,0.712041094,0.716129325,低级别
‘00000453,512,16,5,0.640661459,0.773812519,低级别
‘00000456,505,200,2,0.374295378,0.415,低级别
‘00000463,483,27,28,0.972499889,0.74050291,中等级别
‘00000464,491,8,10,0.598486137,0.602644157,低级别
‘00000465,491,55,2,0.782844734,0.821267644,低级别
‘00000467,482,121,3,0.510033777,0.582308762,低级别
‘00000470,477,10,4,0.432130807,0.625350809,低级别
‘00000471,470,43,7,0.430710391,0.465509806,低级别
‘00000472,470,99,3,0.715137377,0.73,低级别
‘00000474,463,53,3,0.800486618,0.626666667,低级别
‘00000475,2627,29,7,0.450964512,0.485021352,低级别
‘00000478,462,183,3,0.4125,0.463827206,低级别
‘00000479,462,125,3,0.387203791,0.429265403,低级别
‘00000480,462,86,13,0.654909875,0.707472366,高级别
‘00000484,442,21,6,0.619037317,0.681208221,低级别
‘00000486,433,59,5,0.573011915,0.676227025,低级别
‘00000487,426,22,8,0.530026594,0.665441277,低级别
‘00000491,424,68,3,0.764227642,0.686666667,低级别
‘00000496,414,27,27,0.585887934,0.655197747,低级别
‘00000497,386,79,4,0.257410838,0.449731357,低级别
‘00000498,395,144,3,0.757029405,0.763333333,低级别
‘00000500,386,2,65,0.627289206,0.69095287,中等级别
‘00000502,386,4,6,0.479533941,0.531390071,低级别
‘00000504,372,93,7,0.563264327,0.646331229,低级别
‘00000506,598,168,2,0.502860584,0.537940379,低级别
‘00000508,436,2,9,0.545572675,0.635997308,低级别
‘00000510,1079,21,9,0.833903209,0.842573645,低级别
‘00000511,1098,90,8,0.783235892,0.90625,低级别
‘00000515,388,49,5,0.736564805,0.801102915,低级别
‘00000516,475,107,9,0.699436725,0.755683064,低级别
‘00000520,410,3,29,0.623390999,0.64308011,中等级别
‘00000521,375,12,18,0.4444287,0.738676019,低级别
‘00000523,1126,81,18,0.770800764,0.806438683,低级别
‘00000524,368,23,4,0.930760279,0.973151668,低级别
‘00000526,1980,44,3,0.565439219,0.749627329,低级别
‘00000527,1416,11,18,0.685744552,0.780026634,低级别
‘00000530,3057,4,4,0.676811425,0.738417418,低级别
‘00000531,3044,36,40,0.693214264,0.745155013,低级别
‘00000533,3051,215,5,0.537650794,0.631912381,低级别
‘00000534,3044,6,17,0.616172818,0.666875,高级别
‘00000536,3041,8,53,0.704999224,0.690908399,中等级别
‘00000537,3041,8,34,0.584818872,0.63916708,低级别
‘00000540,3030,135,4,0.494004796,0.525419664,低级别
‘00000541,3032,1,9,0.625656965,0.710712066,低级别
‘00000542,3031,2,22,1.43729494,1.448369939,中等级别
‘00000543,3055,1,22,0.747066065,0.826027493,低级别
‘00000544,3038,107,15,0.709757024,0.832229689,高级别
‘00000547,3044,5,30,0.689107041,0.769984458,中等级别
‘00000550,3028,13,41,0.638006189,0.721284897,中等级别
‘00000555,3043,142,6,0.543346074,0.630306637,低级别
‘00000557,3020,2,101,0.702155039,0.742826118,高级别
‘00000559,3015,101,11,0.534209487,0.576942862,低级别
‘00000560,3018,153,10,0.524398806,0.726325259,低级别
‘00000561,3025,29,2,0.460333007,0.433290891,高级别
‘00000562,3015,33,2,0.698824343,0.835,低级别
‘00000565,3020,97,3,0.8493083,0.694970356,低级别
‘00000566,3013,5,45,0.862444831,0.786001739,高级别
‘00000568,3003,18,18,0.650398767,0.658980877,低级别
‘00000571,2999,9,26,0.597774852,0.692907767,中等级别
‘00000573,2999,4,46,0.506839364,0.779039657,中等级别
‘00000574,2999,88,25,0.553533998,0.674628574,低级别
‘00000576,2998,4,34,0.661640918,0.781142287,低级别
‘00000579,2989,6,68,0.568184722,0.588061796,中等级别
‘00000580,2983,74,75,0.673260436,0.738562797,中等级别
‘00000581,2986,24,33,0.647221328,0.669089154,低级别
‘00000584,2980,63,23,1.306710512,1.244676457,高级别
‘00000586,3165,36,16,0.709951456,0.790811932,中等级别
‘00000587,2996,1,6,0.642318342,0.719801394,低级别
‘00000588,2969,20,6,0.322654462,0.614828375,低级别
‘00000589,2966,124,17,0.461351731,0.479699757,低级别
‘00000590,2965,38,18,0.741284042,0.746074201,低级别
‘00000592,2975,92,6,0.983508842,0.938714484,低级别
‘00000595,2958,1,26,1.046162123,1.111049857,中等级别
‘00000596,2952,8,16,0.656267963,0.685868213,低级别
‘00000597,2951,140,8,0.90269288,0.947667272,低级别
‘00000598,2946,34,13,0.583389602,0.626557506,低级别
‘00000599,2944,2,16,0.631552816,0.694547975,中等级别
‘00000600,2945,6,14,0.709307504,0.734876976,低级别
‘00000602,2944,171,4,0.750507511,0.786492083,低级别
‘00000603,2947,58,14,0.868510342,0.947557983,低级别
‘00000604,2940,32,5,0.595108696,0.607657609,低级别
‘00000607,2943,34,21,0.514126339,0.688846692,低级别
‘00000608,2951,8,28,0.673849838,0.704010604,低级别
‘00000610,2938,67,7,0.921494597,1.003581565,低级别
‘00000616,2938,22,33,0.496169143,0.587023639,低级别
‘00000620,2969,63,12,0.549623116,0.634258794,低级别
‘00000621,2920,72,5,0.820024043,0.864049459,低级别
‘00000622,2944,104,18,0.684535161,0.782893325,低级别
‘00000624,2920,4,81,0.713107997,0.722041608,高级别
‘00000625,2945,165,8,0.68192148,0.709087846,低级别
‘00000626,2931,37,11,1.295936334,1.397046271,高级别
‘00000628,2930,159,5,0.463285519,0.88223873,低级别
‘00000629,2930,52,3,0.711524593,0.816907544,低级别
‘00000630,3075,12,25,0.626023232,0.677592058,低级别
‘00000631,2929,4,18,0.511047712,0.556689329,低级别
‘00000633,2940,12,23,0.649234116,0.781757153,低级别
‘00000634,2926,172,5,0.672386059,0.641218945,低级别
‘00000635,2910,3,54,0.86426337,0.906626843,中等级别
‘00000636,2942,92,7,0.466430632,0.53862182,低级别
‘00000637,2924,107,11,0.314776497,0.675926692,低级别
‘00000640,2908,68,9,0.542019877,0.591560216,低级别
‘00000641,2908,152,4,0.833132772,0.895679904,低级别
‘00000642,2908,144,5,0.497514499,0.94925435,低级别
‘00000643,2911,157,2,0.940841055,1.183235923,低级别
‘00000645,2921,51,10,0.615560101,0.774424559,低级别
‘00000652,2898,77,3,0.480621516,0.793301585,低级别
‘00000653,2898,12,45,0.622550469,0.762287439,低级别
‘00000656,2887,110,6,0.662507517,0.860396873,低级别
‘00000657,2893,62,4,0.710854093,0.8225,低级别
‘00000658,2974,38,7,0.782119205,0.762288079,低级别
‘00000659,2885,25,5,0.459388359,0.431177244,低级别
‘00000660,2889,4,19,0.501630941,0.563732526,低级别
‘00000661,2888,249,14,0.644733021,0.774330166,低级别
‘00000664,2896,3,25,0.984767285,1.07004092,中等级别
‘00000666,2898,9,30,0.563517915,0.687346003,低级别
‘00000667,2925,6,34,0.722963121,0.627143568,中等级别
‘00000669,2884,109,12,0.546875969,0.564268164,低级别
‘00000670,2916,124,15,0.626191611,0.698263823,低级别
‘00000673,2882,21,7,0.61241475,0.72406427,低级别
‘00000674,2889,104,14,0.734833074,0.869656575,低级别
‘00000675,2874,76,11,1.177013423,0.877743289,低级别
‘00000676,2874,65,15,0.568680944,0.972289971,低级别
‘00000678,2869,282,8,0.631400966,0.625415459,低级别
‘00000679,2907,226,6,0.677500675,0.775774737,低级别
‘00000680,2869,2,50,0.70878342,0.765735307,中等级别
‘00000681,2873,14,16,0.740629825,0.7788709,低级别
‘00000682,2871,34,50,0.612409624,0.602209037,中等级别
‘00000684,2868,35,16,0.543175322,0.589679014,低级别
‘00000685,2865,115,5,0.546038544,0.565073608,低级别
‘00000686,2870,30,78,0.642536332,0.684981426,高级别
‘00000687,2868,44,35,0.445470434,0.635242208,低级别
‘00000688,2898,1,16,0.538595939,0.613683824,低级别
‘00000689,2886,15,9,0.461388806,0.602263544,中等级别
‘00000691,2894,110,19,0.859165529,0.876347167,低级别
‘00000693,2868,1,52,0.721429516,0.807594964,高级别
‘00000694,2864,69,32,0.645930754,0.747601908,低级别
‘00000696,2874,11,6,0.394336927,0.554959735,低级别
‘00000697,2871,217,4,0.287156638,0.7925,低级别
‘00000699,2857,143,4,0.75221519,0.637025316,低级别
‘00000702,2879,82,12,0.613696136,0.656129881,低级别
‘00000704,2876,2,15,0.574897232,0.598479035,低级别
‘00000705,2866,28,42,0.635829057,0.651404734,中等级别
‘00000707,2863,5,65,0.741248032,0.883145532,高级别
‘00000708,2855,5,53,0.575594675,0.741590338,高级别
‘00000709,2853,159,10,0.92443281,0.962745201,中等级别
‘00000711,2843,102,7,0.629529209,0.929881686,低级别
‘00000713,2846,93,2,0.428773418,0.436839873,低级别
‘00000714,2849,40,6,0.447002739,0.494953849,低级别
‘00000715,2855,16,4,0.76244501,0.595762908,低级别
‘00000717,2861,49,3,0.675723359,0.751510233,低级别
‘00000718,2852,109,8,0.781631763,0.868697644,低级别
‘00000719,2845,35,28,0.667706791,0.732561879,低级别
‘00000722,2846,5,45,0.802674014,0.770872165,低级别
‘00000723,2846,57,10,0.681353011,0.698987396,低级别
‘00000725,2869,99,2,1.013997952,0.626766815,低级别
‘00000728,3004,4,97,0.860528417,0.93836632,高级别
‘00000729,2840,158,4,0.611181883,0.688779901,低级别
‘00000730,2849,2,63,0.597293931,0.703105622,低级别
‘00000731,2852,78,12,0.706191675,0.783141016,低级别
‘00000732,2853,76,3,0.368920033,0.475610058,低级别
‘00000734,2836,181,10,0.46290769,0.533607207,低级别
‘00000735,2835,32,35,0.577790228,0.66561458,低级别
‘00000736,2840,74,14,0.723174367,0.718288376,低级别
‘00000737,2837,4,24,0.90213481,1.086775774,中等级别
‘00000738,2839,17,4,0.536344137,0.58,低级别
‘00000740,2840,5,8,0.86388213,1.019299135,低级别
‘00000743,2831,22,76,0.805030033,0.735177762,中等级别
‘00000744,2829,11,69,0.670575372,0.699150052,中等级别
‘00000746,2828,4,35,0.689983174,0.648974089,低级别
‘00000747,2837,94,13,0.318192214,0.575187777,低级别
‘00000748,2822,21,5,1.249398613,1.048553134,低级别
‘00000750,2818,4,67,0.961565339,0.800388502,中等级别
‘00000752,2827,4,11,0.396133802,0.518035996,低级别
‘00000754,2827,14,22,0.803052155,0.922569177,高级别
‘00000755,2815,15,70,0.570650088,0.635178874,中等级别
‘00000756,2887,83,3,0.551827892,0.635632616,低级别
‘00000757,2836,14,5,0.991213528,0.988615716,低级别
‘00000758,2828,11,19,0.479985004,0.618028492,低级别
‘00000759,2822,2,44,0.627591406,0.683486962,中等级别
‘00000760,2831,174,17,0.635737506,0.634419527,低级别
‘00000762,2832,5,10,1.323627501,1.485529117,低级别
‘00000763,2859,19,2,0.422942817,0.485,低级别
‘00000764,2819,268,5,0.539387858,0.612338184,低级别
‘00000766,2808,126,4,0.540942928,0.801668486,低级别
‘00000769,2836,34,12,0.807024249,0.877640039,低级别
‘00000770,2828,2,16,0.576834651,0.63166774,低级别
‘00000771,2800,4,17,0.648505604,0.719185001,低级别
‘00000774,2811,101,4,0.714688381,0.610746946,低级别
‘00000775,2822,116,23,0.675642008,0.756530998,低级别
‘00000777,2815,96,10,0.493767129,0.649666696,低级别
‘00000778,2809,67,19,0.513045409,0.707969727,低级别
‘00000779,2802,87,22,0.581299209,0.743200336,低级别
‘00000780,2805,16,19,0.477263803,0.636977146,低级别
‘00000781,2809,8,109,0.913380589,0.914492693,中等级别
‘00000782,2812,21,10,0.539592082,0.64510198,低级别
‘00000787,2798,100,23,0.706533874,0.765935425,低级别
‘00000788,2799,124,15,0.50783681,0.664938919,低级别
‘00000789,2799,15,17,0.605538956,0.782399768,低级别
‘00000791,2809,25,3,0.359616409,0.986891316,低级别
‘00000792,2806,20,14,0.444016374,0.570163255,低级别
‘00000793,2796,17,25,0.54995669,0.655800098,低级别
‘00000794,2792,15,36,0.533082795,0.55853357,低级别
‘00000795,2828,1,40,0.734349809,0.753371182,中等级别
‘00000796,2792,12,27,0.818269308,0.782627717,低级别
‘00000798,2800,18,13,0.810186176,0.831444468,低级别
‘00000799,3009,19,70,0.930611282,0.837163874,中等级别
‘00000800,2779,6,18,0.759820481,0.771757552,中等级别
‘00000801,2798,198,5,0.523255814,0.641635809,低级别
‘00000802,2810,33,31,0.711205275,0.767491914,低级别
‘00000803,2808,41,18,0.7732813,0.710916818,低级别
‘00000804,2783,59,12,0.43632003,0.605864953,低级别
‘00000805,2797,22,19,0.525815155,0.621891892,低级别
‘00000806,2794,30,3,0.677853993,0.738324351,低级别
‘00000807,2783,240,2,0.576834862,0.585,低级别
‘00000808,2784,17,30,0.921492591,0.977189707,中等级别
‘00000809,2829,71,7,0.64616829,0.660568008,低级别
‘00000811,2807,146,5,0.620473538,0.794693593,低级别
‘00000812,2793,1,59,0.661213968,0.721700494,中等级别
‘00000813,2771,5,12,0.940612207,1.053532107,低级别
‘00000816,2781,209,5,0.941034898,0.819404332,低级别
‘00000817,2786,17,11,0.684657236,0.790344287,低级别
‘00000818,2801,2,21,0.560945472,0.651615513,低级别
‘00000823,2759,96,8,0.875253824,1.001292135,低级别
‘00000826,2777,79,2,0.826378539,0.830819672,低级别
‘00000827,2755,42,21,0.57348049,0.581612853,低级别
‘00000828,2756,109,4,0.652982371,0.728478628,低级别
‘00000829,2763,49,20,0.493570945,0.614207459,低级别
‘00000831,2753,17,14,0.592330635,0.681909246,低级别
‘00000833,2763,155,8,0.492849035,0.483424518,低级别
‘00000834,2750,19,18,1.258278852,1.362235645,高级别
‘00000835,2786,123,7,0.720095503,0.811491444,低级别
‘00000838,2736,4,11,0.795449866,0.804922792,低级别
‘00000840,2752,43,12,0.45694529,0.583476994,低级别
‘00000841,2770,21,22,0.513370894,0.906262498,低级别
‘00000842,2769,30,31,0.666484971,0.806290103,中等级别
‘00000845,2756,68,7,0.641372759,0.67881843,低级别
